word,trans
ኺዳን, Kidan
ብጀካ, bǧäka
ሰብን, säbn
ሒደት, ħidät
ገላዉ, gälawu
ህዝብኻ, hzbKa
ጽባሕ, ṣbaħ
ኣዕኑድ, 'aʕnud
ዮርሳሌም, yorsalem
ምዉታት, mwutat
ሓምሳን, ħamsan
ብእግዚኣብሄር, b'gzi'abher
ኣጸድ, 'aṣäd
ዜና, zena
እዝስ, 'zs
ማእከሎም, ma'kälom
ምዃነይ, mkʷanäy
ተቐሚጡ, täQämiTu
ኣሕዋቱ, 'aħwatu
ዕጣን, ʕTan
ሾሞንተ, šomontä
ከዱ, kädu
ስልጣን, slTan
ዘይኰነስ, zäykʷänäs
ካብኣ, kab'a
ዓሞን, ʕamon
ኣእማን, 'a'man
ኤዶም, 'edom
ክትከውን, ktkäwn
ተዛረበ, täzaräbä
ነገርዎ, nägärwo
ይስሃቅ, yshaq
ኤልያስ, 'elyas
ኣሎኹም, 'aloKum
ለይትን, läytn
ኣሕሊፉ, 'aħlifu
ጥዑም, Tʕum
ኣፉ, 'afu
ቐዳማይ, Qädamay
ጀጋኑ, ǧäganu
ርእሶም, r'som
ዜብሎም, zeblom
ኻብኡ, Kab'u
ዓሻ, ʕaša
ብዕራይ, bʕray
ኣይኰንኩን, 'aykʷänkun
ክዳን, kdan
ዚመስል, zimäsl
ብሸነኽ, bšänäK
ኣቦታት, 'abotat
መዋዕል, mäwaʕl
ሒዞም, ħizom
ሓው, ħaw
በረኸት, bäräKät
ድኹም, dKum
ምኽሪ, mKri
እዚውን, 'ziwn
መስፍን, mäsfn
ብመገዲ, bmägädi
ጻድቃን, ṣadqan
ኣገልግሎት, 'agälglot
ኣዲኡ, 'adi'u
ኣቦታቱ, 'abotatu
እግዚኣብሄርን, 'gzi'abhern
ኣተዉ, 'atäwu
ናባኻትኩም, nabaKatkum
ኣባይ, 'abay
ጓና, gʷana
እፈልጥ, 'fälT
እኔኹ, 'neKu
ነበራ, näbära
ንነፍሰይ, nnäfsäy
ይወጽእ, ywäṣ'
ንየሱስ, nyäsus
በተን, bätän
ጥፍኣት, Tf'at
ኣሕዋተየ, 'aħwatäyä
ልሕጺ, lħṣi
ንላዕሊ, nlaʕli
እኩይ, 'kuy
ኪብሉ, kiblu
ሕነ, ħnä
ህዝቡ, hzbu
ምኽንያት, mKnyat
ፋስጋ, fasga
መካበብያ, mäkabäbya
ከለዳውያን, kälädawyan
ካህናትን, kahnatn
ተንስኤ, täns'e
ኣቕሓ, 'aQħa
ይመጽእ, ymäṣ'
ሓለውቲ, ħaläwti
ፍቓድ, fQad
ኣድጊ, 'adgi
ሃዋርያት, hawaryat
ድቤላ, dbela
ነዊሕ, näwiħ
ብሰይፊ, bsäyfi
ደጌታት, dägetat
ጽን, ṣn
በይኑ, bäynu
ዳዊትን, dawitn
ተመልሱ, tämälsu
ግብጻውያን, gbṣawyan
ኣዕዋፍ, 'aʕwaf
ኪሩቤል, kirubel
ኣሜን, 'amen
ነገስት, nägäst
ክንደይ, kndäy
ዀይኖም, kʷäynom
ልብኻ, lbKa
ዮኣብ, yo'ab
ብወገን, bwägän
ፈረቓ, färäQa
ኣእዳዎም, 'a'dawom
ስመይ, smäy
ንሓድሕዶም, nħadħdom
ሓጺን, ħaṣin
ንኣሮንን, n'aronn
ዳንኤል, dan'el
ኣዝዮም, 'azyom
በረኽቲ, bäräKti
ሊባኖስ, libanos
መርከብ, märkäb
ንግሆ, ngho
ጌርኩም, gerkum
ስጋኡ, sga'u
ዓሌታት, ʕaletat
ናብዚ, nabzi
ቐዳመይቲ, Qädamäyti
መስተ, mästä
ጭፍራ, Čfra
ሳዕሪ, saʕri
ዝመጸ, zmäṣä
ኽፍሊ, Kfli
ባሮት, barot
ከንቱ, käntu
ዓባይ, ʕabay
ወረደ, wärädä
ሰዓት, säʕat
ነገርን, nägärn
ንውሉድ, nwlud
ቓላት, Qalat
ነዞም, näzom
ኻህናትን, Kahnatn
ንስኻን, nsKan
ዘይኰነ, zäykʷänä
ልዕሊኦም, lʕli'om
ሰብዓ, säbʕa
ጀመረ, ǧämärä
ዅላቶም, kʷlatom
ኢዶም, 'idom
ኣበሳ, 'abäsa
ኣዒንቲ, 'aʕinti
ትኹን, tKun
ንያእቆብ, nya'qob
ንኣና, n'ana
ዳን, dan
ነይረ, näyrä
ተባዕታይ, täbaʕtay
ኣዒንቱ, 'aʕintu
ጊልዓድ, gilʕad
ቘልዓ, Qʷälʕa
ወሰደ, wäsädä
ነበሮ, näbäro
ሊቃውንቲ, liqawnti
ይቕረ, yQrä
ኣየ, 'ayä
ሃገራት, hagärat
ገጽካ, gäṣka
ሌዊ, lewi
ስምካ, smka
መገዱ, mägädu
ኰኑ, kʷänu
ሲኦል, si'ol
ሰርሔ, särħe
ምናልባሽ, mnalbaš
ኽትከውን, Ktkäwn
ከምኡውን, käm'uwn
ብዛዕባኡ, bzaʕba'u
ጐልጐል, gʷälgʷäl
ዝናም, znam
ንርእሱ, nr'su
እሙን, 'mun
ዙርያኡ, zurya'u
ከውሒ, käwħi
ቅድስቲ, qdsti
ኩሉ, kulu
ልዑል, lʕul
ልኢኹ, l'iKu
ዝገበረ, zgäbärä
ዱር, dur
ንሱን, nsun
ብምኽንያት, bmKnyat
ብሰላም, bsälam
ብዘመን, bzämän
ዮሳፋጥ, yosafaT
ጓኖት, gʷanot
ዔላ, ʕela
ሓራ, ħara
ደቀሰ, däqäsä
ኻብቶም, Kabtom
ኣምላኾም, 'amlaKom
ገጸይ, gäṣäy
ዓለባ, ʕaläba
ሰሚዑ, sämiʕu
ህዝቅኤል, hzq'el
ዘፍጥረት, zäfTrät
ኣብተን, 'abtän
እስኪ, 'ski
ሳልሰይቲ, salsäyti
ሓውካ, ħawka
ኣዒንተይ, 'aʕintäy
እዝኒ, 'zni
ኣሕዋቱን, 'aħwatun
ገሊላ, gälila
መጀመርታ, mäǧämärta
ጥንቲ, Tnti
ቤትካ, betka
ነበርኩ, näbärku
ኸተማታት, Kätämatat
ሌዋውያንን, lewawyann
ስርዓት, srʕat
