word,count,trans
ኣመሌ, 1, 'amäle
ቆርጫጭ, 1, qorČaČ
ዘስተውዓሉ, 1, zästäwʕalu
ኪዳ, 1, kida
ዘይጠዓምክን, 1, zäyTäʕamkn
ክዉን, 1, kwun
ምንባር, 1, mnbar
ቻው, 1, čaw
ዝዓገሶ, 1, zʕagäso
ዝተረፉ, 1, ztäräfu
ንልበይ, 1, nlbäy
ምርኻብ, 1, mrKab
ሃገራ, 1, hagära
ኔረሞ, 1, nerämo
ከዕልላ, 1, käʕlla
ረብሓና, 1, räbħana
ዓቕመይ, 1, ʕaQmäy
ኣብነት, 1, 'abnät
“ኣጆኺ, 1, “'aǧoKi
እንትርፎ, 1, 'ntrfo
(በታ, 1, (bäta
ኣቢለ, 1, 'abilä
ካልእ), 1, kal')
ኣስፈሃ, 1, 'asfäha
ልዕሊ, 1, lʕli
ኩለንትነኣ, 1, kuläntnä'a
ብኣማን, 1, b'aman
ዓጽዩ, 1, ʕaṣyu
ስማዕ, 1, smaʕ
ኣትን, 1, 'atn
ፍትሒ, 1, ftħi
ኣብርሃም, 1, 'abrham
ክማርኽ, 1, kmarK
ወሰን, 1, wäsän
ዕንባባይ, 1, ʕnbabay
ንዕድል, 1, nʕdl
ክኸዶ, 1, kKädo
ሕንቁቕ, 1, ħnquQ
ንጽኑዕ, 1, nṣnuʕ
እናመሰለት, 1, 'namäsälät
ዘየሳኒ, 1, zäyäsani
ድዩ?, 1, dyu?
ክምስ, 1, kms
ምኢዙ, 1, m'izu
ብማዕዶ, 1, bmaʕdo
ሰላም, 1, sälam
ናተይ, 1, natäy
ጽላልናይ, 1, ṣlalnay
ጠዓማ, 1, Täʕama
ወሓሉ, 1, wäħalu
መሀነኒ, 1, mähänäni
ዝጠምሮ, 1, zTämro
ሃቢ, 1, habi
ኣይተጥፈኣዮ, 1, 'aytäTfä'ayo
ጼርና, 1, ṣerna
ሕጻባ, 1, ħṣaba
ተመጊባ, 1, tämägiba
ኪሮስ, 1, kiros
ሕብራ, 1, ħbra
ጠባይኪ, 1, Täbayki
ክንዕወት, 1, knʕwät
ብድፋዕና, 1, bdfaʕna
ፍቕሪ’ያ, 1, fQri’ya
ዘይብለለ, 1, zäyblälä
ተላልያ, 1, tälalya
እንዳበልካ, 1, 'ndabälka
ቁሩብ, 1, qurub
ተላሚዳ, 1, tälamida
ታ, 1, ta
እቶም, 1, 'tom
ዙርያኺ, 1, zuryaKi
ንዓይነይ, 1, nʕaynäy
ከብርሃልኪ, 1, käbrhalki
ንቓለይ, 1, nQaläy
ዘንጸላልወኒ, 1, zänṣälalwäni
እዛ, 1, 'za
