list,Map1
מוזיק,muzik
באַקומען,bakumen
װעמען,vemen
פֿאַרמאָגט ,farmogt 
פֿאָרגעקומען ,forgekumen 
 
Yiddish ס = Roman s<br>
עס,es
סיריע,sirje
עסן,esn
גאַס,gas
דאָס,dos
יעדעס ,jedes 
סאָלדאַטן ,soldatn 
סײַ,saj
זשעסט,ʒest
דזשינס,d͡ʒins
בעסער,beser
ביסל,bisl
באַשלאָסן,baʃlosn
סטודענטן,studentn
רוסלאַנד,rusland
רוסיש,rusiʃ
רוסישע ,rusiʃe 
רוסישער ,rusiʃer 
סטרוזש,struʒ
באַזונדערס ,bazunders 
קינסטלער,kinstler
קונסט,kunst
װאַסער,vaser
װיסן,visn
װאָס,vos
שװעסטער,ʃvester
סאָװעטישע,sovetiʃe
געװיסע ,gevise 
סאָװעטישער ,sovetiʃer 
װײסט,vejst
אוניװערסיטעט,universitet
פֿאַרגעסן,fargesn
פֿאָרװערטס,forverts
מיניסטער,minister
סאַמע ,same 
מאַסאַזשיסט,masaʒist
מאָסקװע,moskve
מאָסקװער,moskver
 
Yiddish צ = Roman ts (IPA /t͡s/)<br>
צי,t͡si
איצט,it͡st
צענטער,t͡senter
גאַנצע,gant͡se
גאַנצער,gant͡ser
גאַנצן,gant͡sn
צאָל,t͡sol
לעצטע ,let͡ste 
ציל ,t͡sil 
לעצטן ,let͡stn 
צײַט,t͡sajt
צײַטן,t͡sajtn
דערצײלן,dert͡sejln
דערצײלט ,dert͡sejlt 
צו,t͡su
דערצו,dert͡su
צײַטונג,t͡sajtung
צוליב,t͡sulib
צענדליקער ,t͡sendliker 
צוריק,t͡surik
צװישן,t͡sviʃn
צװײ,t͡svej
צװײטע,t͡svejte
צװײטער,t͡svejter
צװײטן,t͡svejtn
צוזאַמען,t͡suzamen
לעצטנס,let͡stns
 
Yiddish ױ = Roman oj<br>
טױט,tojt
לױט,lojt
אױגן,ojgn
שױן,ʃojn
אַזױ,azoj
טױזנט,tojznt
טױזנטער,tojznter
אױב,ojb
געבױרן,gebojrn
בלױז,blojz
פֿרױ,froj
אױפֿן,ojfn
פֿרױען ,frojen 
אױס,ojs
אַרױס,arojs
גרױס,grojs
גרױסע,grojse
גרױסער,grojser
גרױסן,grojsn
בלױדזשינס,blojd͡ʒins
אױסשטעלונג,ojsʃtelung
 
Yiddish פּ = Roman p<br>
פּאָר,por
שפּילן,ʃpiln
געשפּילט,geʃpilt
אָפּ ,op 
שפּעטער ,ʃpeter 
שפּילט ,ʃpilt 
פּאָליטישע ,politiʃe 
אײראָפּע,ejrope
פּרעזידענט,prezident
גרופּע,grupe
קאָפּ,kop
פּאָליטיק,politik
פּונקט,punkt
 
Yiddish וּ = Roman u<br>
װוּ,vu
פּרעמיער,premjer
עפּעס,epes
פּיעסע,pjese
פּאַלעסטינער,palestiner
פּאַסאַזשיר,pasaʒir
געװוּסט,gevust
סעפּטעמבער,september
פּױלן,pojln
 
Yiddish כ = Roman x<br>
נאַכט,naxt
עטלעכע,etlexe
ליכט,lixt
דיכטער,dixter
טאָכטער,toxter
נאָכן,noxn
געשיכטע,geʃixte
כאָטש,xot͡ʃ
זיכער,zixer
זאַכן,zaxn
אַזעלכע ,azelxe 
ביכער,bixer
באַטראַכט ,batraxt 
געבראַכט ,gebraxt 
װעלכע,velxe
װעלכער,velxer
װעלכן ,velxn 
װיכטיק,vixtik
װיכטיקע ,vixtike 
מאַכט,maxt
מאַכן,maxn
געמאַכט,gemaxt
 
Yiddish ה = Roman h<br>
הערן,hern
הענט,hent
האַנט,hant
האַלטן,haltn
געהערט,gehert
געהאַט,gehat
האָט,hot
האַלט ,halt 
געהאַלטן ,gehaltn 
הײַנט,hajnt
האָב,hob
האָבן,hobn
הײבט,hejbt
אָנהײב,onhejb
יאָרהונדערט,jorhundert
הײַנטיקע ,hajntike 
העלפֿן,helfn
הײסט ,hejst 
הױז,hojz
אָנגעהױבן,ongehojbn
 
Yiddish ך = Roman x<br>
איך,ix
נאָך,nox
דאָך,dox
דערנאָך,dernox
אײַך,ajx
גלײַך,glajx
זאַך,zax
זיך,zix
דורך,durx
בוך,bux
װאָך,vox
מיך,mix
מעגלעך,meglex
אױך,ojx
שפּראַך,ʃprax
 
Yiddish ם = Roman m<br>
אים,im
אינעם,inem
דעם,dem
יענעם ,jenem 
נײַעם,najem
אײגענעם,ejgenem
אײנעם ,ejnem 
בײַם,bajm
אַרום,arum
פֿילם,film
פֿונעם,funem
צום,t͡sum
הײם,hejm
ייִד,jid
ייִדן,jidn
ייִדיש,jidiʃ
ייִדישע,jidiʃe
ייִדישער,jidiʃer
ייִדישן,jidiʃn
ייִדישקייט,jidiʃkiit
 
Yiddish יִ = Roman i<br>
אוקראַיִנע,ukraine
פֿריִער,frier
 
Yiddish ץ = Roman ts (IPA /t͡s/)<br>
אַלץ,alt͡s
גאַנץ,gant͡s
קאָנפֿערענץ,konferent͡s
האַרץ,hart͡s
 
Yiddish ף = Roman f<br>
דאַרף,darf
פֿינף,finf
אױף,ojf
ניו־יאָרק,nju־jork
