List,Map1
שװעסטער,ʃvester
שאַפֿן ,ʃafn 
אױך,ojx
יאָרן,jorn
געפֿינען,gefinen
טאָג,tog
װערן,vern
אונדזערע ,undzere 
זינט,zint
געלאָזט ,gelozt 
טעמע,teme
אַלטער,alter
לעצטן ,let͡stn 
גרױסן,grojsn
מער,mer
מוז ,muz 
שױן,ʃojn
אַזעלכע ,azelxe 
אײנעם ,ejnem 
דערבײַ ,derbaj 
דאָזיקע,dozike
אַזערבײַדזשאַן,azerbajd͡ʒan
בין,bin
בײַם,bajm
געהערט,gehert
לאָזן,lozn
אײראָפּע,ejrope
לעצטנס,let͡stns
ניט,nit
דיר,dir
פֿרײַנד,frajnd
טעג,teg
לענדער,lender
רעדן,redn
זײַנען,zajnen
קײן,kejn
קולטור,kultur
צו,t͡su
