list, Map1
כָל־בְּכוֹֹר, xal־bxwor
מִשְׁמֶרֶת, mišmeret
אֶת־בְּנֵי, 'et־bney
וְאַרְבַּע, w'arbaʕ
כַּף, kaf
בִּן־נוּן, bin־nun
תִתְנוּ, titnu
תִתֵנוּ, titenu
עַתֻדִים, ʕatudiym
וּלְזֶבַח, ulzevaħ
הַהִין, hahiyn
מְאֹד, m'od
סִינָי, siynay
סִינַי, siynay
לַחֹדֶשׁ, laħodeš
אַרְבָּעִים, 'arbaʕiym
נִזְרוֹֹ, nizrwo
וַיִתֵן, wayiten
אֶת־עֲבֹדַת, 'et־ʕavodat
מִמִצְרָיִם, mimit͡srayim
מִמִצְרַיִם, mimit͡srayim
בְּיַד־מֹשֶׁה, byad־mošeh
וְאֵלֶה, w'eleh
אִישָׁה, 'iyšah
וַיָבֹא, wayavo'
פְּקֹד, pqod
פֹּקֵד, poqed
פָּקַד, paqad
וּמָאתַיִם, uma'tayim
וּמָאתָיִם, uma'tayim
וַיִשְׁמַע, wayišmaʕ
אֵלֶיךָ, 'eleyxa
וְשִׁבְעִים, wšivʕiym
יִהְיוּ, yihyu
מִמֶנוּ, mimenu
יְהוּדָה, yhudah
מַיִם, mayim
מָיִם, mayim
מְרָרִי, mrariy
תַעֲשֶׂה, taʕaseh
תַעֲשֶׂה, taʕaseh
לָאַיִל, la'ayil
לָאָיִל, la'ayil
פֶּתַח, petaħ
וְאַרְבָּעִים, w'arbaʕiym
לַכֶּבֶשׂ, lakeves
וְשָׁם, wšam
וְשֵׁם, wšem
גָד, gad
גָד, gad
עָשׂוּ, ʕasu
עֲשׂוּ, ʕasu
יוּמָת, yumat
יוּמַת, yumat
עֲלֵי, ʕaley
עֲלִי, ʕaliy
עָלָי, ʕalay
עָלַי, ʕalay
בִנְיָמִן, vinyamin
בִּנְיָמִן, binyamin
נַפְתָלִי, naftaliy
רֹאשׁ, ro'š
וַיֹצֵא, wayot͡se'
וַיֵצֵא, wayet͡se'
וְיָצָא, wyat͡sa'
שִׁמְעוֹֹן, šimʕwon
הַשֵׁנִי, hašeniy
דָרַךְ, darax
דֶרֶךְ, derex
נָתֹן, naton
נָתָן, natan
נָתַן, natan
נֹתֵן, noten
נְתֹן, nton
בֶּן־אַהֲרֹן, ben־'aharon
עַל־נַפְשָׁה, ʕal־nafšah
עַד, ʕad
בְּנוֹֹ, bnwo
בָּנוּ, banu
וְנָתְנוּ, wnatnu
מִבֶּן־חֹדֶשׁ, miben־ħodeš
יְרֵחוֹֹ, yreħwo
לָה, lah
לָה, lah
שָׁמָה, šamah
יִשָׂשכָר, yisaשxar
יִשָׂשכָר, yisaשxar
עִשָׂרוֹֹן, ʕisarwon
סָבִיב, saviyv
כֹּה, koh
אֱלִיאָב, 'eliy'av
מַחֲנֵה, maħaneh
אֵל, 'el
אֶל, 'el
אָמַר, 'amar
אֱמֹר, 'emor
אֶל־בָּלָק, 'el־balaq
וַיַעַשׂ, wayaʕas
קָדֵשׁ, qadeš
קֹדֶשׁ, qodeš
קָדֹשׁ, qadoš
נָתַתִי, natatiy
הַמִזְבֵּחַ, hamizbeħa
הֶעָרִים, heʕariym
וְלִפְנֵי, wlifney
שָׁנִי, šaniy
שְׁנֵי, šney
מֶלֶךְ, melex
מִנְחָה, minħah
וְשֵׁשׁ, wšeš
וַיִשָׂא, wayisa'
הָעֵדֻת, haʕedut
זְבוּלֻן, zvulun
עֲבֹדָה, ʕavodah
דֶגֶל, degel
דָן, dan
דָן, dan
אָדָם, 'adam
וְנָתַן, wnatan
בַּחֹדֶשׁ, baħodeš
נַחְלָה, naħlah
נַחֲלָה, naħalah
בַמָיִם, vamayim
בַמַיִם, vamayim
בְּמַיִם, bmayim
בַּמַיִם, bamayim
בַּמָיִם, bamayim
עַל־פְּנֵי, ʕal־pney
לַפָּר, lapar
אַחֲרֵי, 'aħarey
אַחֲרָי, 'aħaray
וְהוּא, whu'
וְהִוא, whiw'
שֵׁמֹת, šemot
תִהְיֶינָה, tihyeynah
לְדֹרֹתֵיכֶם, ldoroteyxem
הָרִאשׁוֹֹן, hari'šwon
וַעֲשֵׂה, waʕaseh
וְעָשָׂה, wʕasah
לַעֲשׂוֹֹת, laʕaswot
הָאִשָׁה, ha'išah
הָאִשֶׁה, ha'išeh
וְעַתָה, wʕatah
מִשָׁם, mišam
אֱדוֹֹם, 'edwom
שִׁשָׁה, šišah
וְאֶלְעָזָר, w'elʕazar
אֵין, 'eyn
אַיִן, 'ayin
לִפְקֻדֵיהֶם, lifqudeyhem
וְהָיְתָה, whaytah
וְעַד, wʕad
וְעֵד, wʕed
וְעַל, wʕal
אֶל־יְהוָה, 'el־yhwah
מֵעֵבֶר, meʕever
מֵעֲבֹר, meʕavor
בִּבְנֵי, bivney
פְּקוּדֵי, pqudey
פְקוּדֵי, fqudey
וְיֵרְדְ, wyerd
וְיָרַד, wyarad
וַיֵרֶד, wayered
אַךְ, 'ax
בְּתוֹֹכָם, btwoxam
וְעַל־צְבָא, wʕal־t͡sva'
עֲבֹדַת, ʕavodat
וַיִקְרָא, wayiqra'
כַּמִשְׁפָּט, kamišpaṭ
עַתָה, ʕatah
עִיר, ʕiyr
אֶת־רֹאשׁ, 'et־ro'š
טִמֵא, ṭime'
טָמֵא, ṭame'
הָאִישׁ, ha'iyš
קֵדְמָה, qedmah
וַיֵלֶךְ, wayelex
וַיֵלַךְ, wayelax
וְאַחַר, w'aħar
בְּהַר, bhar
בְּהֹר, bhor
בָּהָר, bahar
וּשְׂעִיר, usʕiyr
בְנֵי־גָד, vney־gad
בְּנֵי־גָד, bney־gad
וּמִנְחָתָה, uminħatah
וְשִׁשִׁים, wšišiym
הָאֱמֹרִי, ha'emoriy
אֱלֹהִים, 'elohiym
כָּל־הַבָּא, kal־haba'
אֵלַי, 'elay
אֵלָי, 'elay
וַאֲבִירָם, wa'aviyram
וְהִקְרִיב, whiqriyv
הֵמָה, hemah
אֶפְרָיִם, 'efrayim
אֶפְרַיִם, 'efrayim
הָרֹצֵחַ, harot͡seħa
וַיַעֲלוּ, wayaʕalu
וַיֵעָלוּ, wayeʕalu
עָלֶיהָ, ʕaleyha
הַדָם, hadam
בְּעַרְבֹת, bʕarvot
וְלַגֵר, wlager
עַל־הַמִשְׁכָּן, ʕal־hamiškan
וְלַכְּבָשִׂים, wlakvasiym
אֲשֶׁר־צִוָּה, 'ašer־t͡siuah
צְלָפְחָד, t͡slafħad
בֶּן־חֲמִשִׁים, ben־ħamišiym
קַח, qaħ
לָמָה, lamah
לָמָה, lamah
מוֹֹת, mwot
אֵשׁ, 'eš
וְלָקַח, wlaqaħ
בָשָׂר, vasar
בָּשָׂר, basar
שָׁמְעוּ, šamʕu
שָׁמְעוֹֹ, šamʕwo
מֵאֶרֶץ, me'eret͡s
בֶּן־יְפֻנֶה, ben־yfuneh
וְשָׁמְרוּ, wšamru
וְנִסְכָּה, wniskah
עוֹֹלָם, ʕwolam
אָבִיהָ, 'aviyha
גֹאֵל, go'el
מִחוּץ, miħut͡s
רֵיחַ, reyħa
עוֹֹד, ʕwod
וּלְמַטֵה, ulmaṭeh
מְשָׁלוֹֹ, mšalwo
בְּמִסְפָּרָם, bmisparam
בַּדֶרֶךְ, baderex
בַּדָרֶךְ, badarex
בְּדֶרֶךְ, bderex
בְדֶרֶךְ, vderex
וַיִחַר־אַף, wayiħar־'af
אֶל־אֹהֶל, 'el־'ohel
אֶרֶץ, 'eret͡s
וּנְתַתֶם, untatem
לָתוּר, latur
הָאָתוֹֹן, ha'atwon
וְעֶשְׂרִים, wʕesriym
בֶּן־עַמִיהוּד, ben־ʕamiyhud
אִתָנוּ, 'itanu
אֹתָנוּ, 'otanu
נְשִׂיאֵי, nsiy'ey
וְנָסְעוּ, wnasʕu
וְנָסָעוּ, wnasaʕu
לָאֵילִם, la'eylim
וְאַתָה, w'atah
עֹשֶׂה, ʕoseh
עָשָׂה, ʕasah
עֲשֵׂה, ʕaseh
הַקָהָל, haqahal
גְבוּל, gvul
אֶל־אַהֲרֹן, 'el־'aharon
וְנָתַתָה, wnatatah
אֶל־פֶּתַח, 'el־petaħ
בַבֹּקֶר, vaboqer
בַּבֹּקֶר, baboqer
וַיָקָם, wayaqam
וִיהוֹֹשֻׁעַ, wiyhwošuʕa
לַמִלְחָמָה, lamilħamah
יוֹֹסֵף, ywosef
וָאַיִל, wa'ayil
וְאַיִל, w'ayil
רֹצֵחַ, rot͡seħa
וְהִקְרַבְתֶם, whiqravtem
בָּזָה, bazah
בָזֶה, vazeh
בָּזֶה, bazeh
אֶת־נַחֲלָתוֹֹ, 'et־naħalatwo
תִהְיֶה, tihyeh
תִהְיֶה, tihyeh
וּתְהִי, uthiy
וַתְהִי, wathiy
בוֹֹ, vwo
בּוֹֹ, bwo
נַחֲלָתוֹֹ, naħalatwo
הֲלֹא, halo'
אוּכַל, 'uxal
עַל־מֹשֶׁה, ʕal־mošeh
רָאשֵׁי, ra'šey
לְאַהֲרֹן, l'aharon
יָקוּם, yaqum
נָא, na'
נָא, na'
שָׂרֵי, sarey
תְרוּמַת, trumat
תְרוּמֹת, trumot
בַּקֹדֶשׁ, baqodeš
בְקָדֵשׁ, vqadeš
בְּקָדֵשׁ, bqadeš
בְּקֹדֶשׁ, bqodeš
וְשָׂמוּ, wsamu
מִפָּנַי, mipanay
מִפְּנֵי, mipney
יֵאָכֵל, ye'axel
יֹאכֵל, yo'xel
יֹאכַל, yo'xal
אֶלְיָסָף, 'elyasaf
וְעַל־אַהֲרֹן, wʕal־'aharon
בִּשְׁגָגָה, bišgagah
בִשְׁגָגָה, višgagah
לַפָּרִים, lapariym
תְכֵלֶת, txelet
עוֹֹר, ʕwor
מִרְיָם, miryam
הֶחָצֵר, heħat͡ser
לְרֵיחַ, lreyħa
כָּל־הַפְּקֻדִים, kal־hapqudiym
כָּל־מְלֶאכֶת, kal־mle'xet
מִקְרָא־קֹדֶשׁ, miqra'־qodeš
הַקְהָתִי, haqhatiy
מִדְיָן, midyan
הַמַחֲנֶה, hamaħaneh
וּשְׁנֵי, ušney
וּשְׁנִי, ušniy
לְכַפֵּר, lxaper
וְאִם־לֹא, w'im־lo'
בָּהֶם, bahem
בָהֶם, vahem
אַחֵר, 'aħer
אַחַר, 'aħar
הַנֶפֶשׁ, hanefeš
הַמְאָרְרִים, ham'arriym
הַמְאָרֲרִים, ham'arariym
הַגֵרְשֻׁנִי, hageršuniy
הַשְׁלִישִׁי, hašliyšiy
תַחַשׁ, taħaš
תָחַשׁ, taħaš
עֲבֹדָתָם, ʕavodatam
חֵלֶב, ħelev
חָלָב, ħalav
בְּנֵי־בָקָר, bney־vaqar
לָתֵת, latet
אֲבִידָן, 'aviydan
הָעַרְבָּיִם, haʕarbayim
הָעֲרְבַּיִם, haʕarbayim
הָעַרְבַּיִם, haʕarbayim
אֶת־הַיַרְדֵן, 'et־hayarden
אֲחִיעֶזֶר, 'aħiyʕezer
רַבִּים, rabiym
רֵיחַ־נִיחֹחַ, reyħa־niyħoħa
נְתַנְאֵל, ntan'el
בֶּן־צוּעָר, ben־t͡suʕar
נֶדֶר, neder
הָאֹהֶל, ha'ohel
הַמֻכָּה, hamukah
הַמַכֶּה, hamakeh
הַמֻכֶּה, hamukeh
בֶּן־עָכְרָן, ben־ʕaxran
בַיהוָה, vayhwah
בַּיהוָה, bayhwah
יָבֹאוּ, yavo'u
בִי, viy
בִּי, biy
מִשְׁכַּן, miškan
אֶעֱשֶׂה, 'eʕeseh
סִיחֹן, siyħon
