list, Map1
עַל־מָרְדֳכַי, ɣal־mardaxay
מַה־לַעֲשׂוֹֹת, mah־laɣaSwot
מַה־לַעֲשׂוֹֹת, mah־laɣaSwot
וּשְׁלָלָם, šlalam
מַה־שְׁאֵלָתֵךְ, mah־š'elatex
עַל־הַמֶלֶךְ, ɣal־hamelex
מֵאֹיְבֵיהֶם, me'oyveyhem
הָרָעָה, haraɣah
אֶל־כָּל־מְדִינוֹֹת, 'el־kal־mdiynwot
וַתַעֲמֹד, wataɣamod
לְרֵעֵהוּ, lreɣeh
וּבַבֹּקֶר, vaboqer
הַיֹשְׁבִים, hayošviym
שֹׁוֶה, šoweh
וַעֲבָדָיו, waɣavadayw
לַהֲתָךְ, lahatax
וְעַד־כּוּשׁ, wɣad־kš
אָבָדְתִי, 'avadtiy
אָבַדְתִי, 'avadtiy
בַּסֵפֶר, basefer
בְּסֵפֶר, bsefer
וַיְסַפֵּר, waysaper
יְמֵי, ymey
חָשַׁב, ħašav
מַחֲשַׁבְתוֹֹ, maħašavtwo
לֹא־תָבוֹֹא, lo'־tavwo'
וָאֵפֶר, wa'efer
אֶת־שַׁרְבִיט, 'et־šarviyṭ
וְשָׁנָה, wšanah
בָּאָה, ba'ah
בָאָה, va'ah
וְאִם־עַל־הַמֶלֶךְ, w'im־ɣal־hamelex
זָכַר, zaxar
חֲמִשָׁה, ħamišah
רִצְפַת, riṣfat
בִּשְׁנַת־שֶׁבַע, bišnat־ševaɣ
וְלִשְׁפָחוֹֹת, wlišfaħwot
הָעֵץ, haɣeṣ
פַּרְשַׁנְדָתָא, paršandata'
מֵאֵת, me'et
אֵת־יְמֵי, 'et־ymey
בָּעֵת־הַהִיא, baɣet־hahiy'
כִּלְשׁוֹֹן, kilšwon
כֹּרְעִים, korɣiym
מַחֲשֶׁבֶת, maħaševet
אֶת־עֹשֶׁר, 'et־ɣošer
עַל־עֵץ, ɣal־ɣeṣ
כִּסֵא, kise'
הַפִּילַגְשִׁים, hapiylagšiym
עַל־כָּכָה, ɣal־kaxah
בְאָמְנָה, v'amnah
לֹא־עָמַד, lo'־ɣamad
תִיטַב, tiyṭav
וְתַכְרִיךְ, wtaxriyx
שַׁעֲשְׁגַז, šaɣašgaz
וְהִלְבִּישׁוּ, whilbiyš
וּמִי, miy
מֵעַמֵי, meɣamey
סֹפְרֵי־הַמֶלֶךְ, sofrey־hamelex
לְאַבֵּד, l'abed
נָדְדָה, naddah
כָּל־הַשָׂרִים, kal־haSariym
רֶוַח, rewaħ
כַּרְשְׁנָא, karšna'
גַם־מָחָר, gam־maħar
גְדוֹֹלָה, gdwolah
חֵיל, ħeyl
וַיִקְרָא, wayiqra'
לֹא־תוּכַל, lo'־txal
וַיִקַח, wayiqaħ
וְאֶת־בָּנָיו, w'et־banayw
כַּרְפַּס, karpas
וְאִם־מָצָאתִי, w'im־maṣa'tiy
רֹאֵי, ro'ey
כִּי־כָלְתָה, kiy־xaltah
בִּשְׁאֵלָתִי, biš'elatiy
עַם־אֶחָד, ɣam־'eħad
וְהִרְכִּיבֻהוּ, whirkiyvuh
עַל־גְלִילֵי, ɣal־gliyley
יַעֲמוֹֹד, yaɣamwod
וְזַעֲקָתָם, wzaɣaqatam
וְאֵי־זֶה, w'ey־zeh
רַבָּה, rabah
הָגְלְתָה, hagltah
הָעֲשִׂירִי, haɣaSiyriy
הַטוֹֹבָה, haṭwovah
וּמַלְכוּתָה, malxtah
וַיִהְיוּ, wayihy
בַּת־דֹדוֹֹ, bat־dodwo
שִׂבְּרוּ, Sibr
שָׁלוֹֹשׁ, šalwoš
וְנֶחְתָם, wneħtam
וּמַאֲמַר, ma'amar
קָצַף, qaṣaf
יוֹֹם־חֲמִשָׁה, ywom־ħamišah
יָשְׁבוּ, yašv
וְנַעֲרֹתַי, wnaɣarotay
כִּי־הִגִידוּ, kiy־higiyd
עַל־יְדֵי, ɣal־ydey
לַהֲרוֹֹג, laharwog
וִימֵי, wiymey
הֱיוֹֹת, heywot
רָכַב, raxav
לְמִי, lmiy
וַתִתְחַנֶן־לוֹֹ, watitħanen־lwo
וַיִזְעַק, wayizɣaq
בְּיָדוֹֹ, byadwo
נָשְׂאָה, naS'ah
וַיִקְצֹף, wayiqṣof
מִמִשְׁתֵה, mimišteh
וְזִכְרָם, wzixram
מֵאֲשֶׁר, me'ašer
יְפַת־תֹאַר, yfat־to'ar
עַל־גִנְזֵי, ɣal־ginzey
הִנֵה־הָעֵץ, hineh־haɣeṣ
טוֹֹבוֹֹת, ṭwovwot
לֹא־תַגִיד, lo'־tagiyd
וּבְכֵן, vxen
בִּגְתָא, bigta'
רִאשֹׁנָה, ri'šonah
וְלַהֲרֹג, wlaharog
וְאֵיכָכָה, w'eyxaxah
לִשְׁקוֹֹל, lišqwol
בְּכֶתֶר, bxeter
וּבְכִי, vxiy
אֲרִדַי, 'ariday
וְאִיֵי, w'iyey
טוֹֹבַת, ṭwovat
אַסְפָּתָא, 'aspata'
וְעֹשֵׂי, wɣoSey
מֵעָלָיו, meɣalayw
וַיַבְהִלוּ, wayavhil
וּמִסְפֵּד, misped
וְטוֹֹבַת, wṭwovat
וּלְאַבְּדָם, l'abdam
וּמָרָה, marah
רַגְלָיו, raglayw
לְכָל־הָעָם, lxal־haɣam
בְּתוֹֹךְ, btwox
כְּשֹׁךְ, kšox
וּפָרָשַׁת, farašat
וְהַיָמִים, whayamiym
זֵתַר, zetar
לְהִתְחַנֶן־לוֹֹ, lhitħanen־lwo
לְעַמוֹֹ, lɣamwo
וָדִין, wadiyn
שְׁמוֹֹנִים, šmwoniym
מִמֶנוּ, mimen
בַּעְלֵיהֶן, baɣleyhen
אֶת־הַדְבָרִים, 'et־hadvariym
וְאֶת־עַמָה, w'et־ɣamah
וַחֲמַת, waħamat
וְטוֹֹבָה, wṭwovah
לִי, liy
עִם־אֶסְתֵר, ɣim־'ester
גְדוּלָתוֹֹ, gdlatwo
וּתְכֵלֶת, txelet
לַעֲבָדִים, laɣavadiym
לִפְנֵיהֶם, lifneyhem
קָם, qam
