list, Map1
אֲלַקֳטָה־נָא, 'alaqaṭah־na'
הַבֹּקֶר, haboqer
וְעִמָדִי, wʕimadiy
אֶת־שַׂלְמָה, 'et־salmah
אַלְמֹנִי, 'almoniy
תֵּעָגֵנָה, teʕagenah
כָּל־שַׁעַר, kal־šaʕar
וַתִּפֹּל, watipol
וְרֵיקָם, wreyqam
שֹׁכֶבֶת, šoxevet
אֶת־הַחַיִים, 'et־haħayiym
בְּמֵעַי, bmeʕay
מָנוֹֹחַ, manwoħa
כָּל־הַקָצִיר, kal־haqat͡siyr
אֶת־הַיֶלֶד, 'et־hayeled
בָּא, ba'
אֶת־רָם, 'et־ram
וַיִשְׂאוּ, wayis'u
מִן־הַנַעֲרָה, min־hanaʕarah
הַעוֹֹד־לִי, haʕwod־liy
וְחֶצְרוֹֹן, wħet͡srwon
וַיִיטַב, wayiyṭav
[קָנִיתָה], [qaniytah]
וְעֹבֵד, wʕoved
עַד־בֹּאָנָה, ʕad־bo'anah
וְיָדַעַתְּ, wyadaʕat
הַשְׁכֵנוֹֹת, hašxenwot
וַתִּקַח, watiqaħ
יֶשׁ־לִי, yeš־liy
וְהֵמָה, whemah
בֵּן, ben
אָזְנְךָ, 'aznxa
אֶת־עַמִינָדָב, 'et־ʕamiynadav
בָּאָרֶץ, ba'aret͡s
וַעֲשֵׂה־חַיִל, waʕaseh־ħayil
וּמֵאֵת, ume'et
אֶת־דָּוִד, 'et־dawid
רָעָב, raʕav
מוֹֹת, mwot
וְלֹא־יִכָּרֵת, wlo'־yikaret
אֵיךְ, 'eyx
אֶל־חֲמוֹֹתֵךְ, 'el־ħamwotex
הַבָּאָה, haba'ah
אֲשֶׁר־בַּשַׁעַר, 'ašer־bašaʕar
בַשִׁבֳּלִים, vašibaliym
כֹּה, koh
עָשִׂית, ʕasiyt
וּמֵאִישָׁה, ume'iyšah
שִׁלְשׁוֹֹם, šilšwom
שִׁכְבִי, šixviy
בטרום, vṭrwm
לְנָעֳמִי, lnaʕamiy
[יַעַשׂ], [yaʕas]
בִּימֵי, biymey
שֵׁשׁ־הַשְׂעֹרִים, šeš־hasʕoriym
כִּי־אִתָּךְ, kiy־'itax
וְהִנֵה־בֹעַז, whineh־voʕaz
לֹא־יָדַעַתְּ, lo'־yadaʕat
וַיָבֹאוּ, wayavo'u
אִם־יִגְאָלֵךְ, 'im־yig'alex
עַל־הַגְּאוּלָה, ʕal־hag'ulah
כַּלֹתוֹֹ, kalotwo
חַי־יְהוָה, ħay־yhwah
אֶת־עוֹֹבֵד, 'et־ʕwoved
אַל־תִּירְאִי, 'al־tiyr'iy
לְמֵשִׁיב, lmešiyv
וַתַּגֵּד, wataged
אֶת־גֹּרֶן, 'et־goren
מרגלתו, mrgltw
מִהְיוֹֹת, mihywot
הַשְׂעֹרִים, hasʕoriym
אֲנָשִׁים, 'anašiym
וַתִּשֶׂנָה, watisenah
מְנוּחָה, mnuħah
וַעֲזַבְתֶּם, waʕazavtem
וַתֶּחְדַּל, wateħdal
אֲשֶׁר־עָשִׂית, 'ašer־ʕasiyt
פֶּן־אַשְׁחִית, pen־'ašħiyt
אִם־תִּגְאַל, 'im־tig'al
תֵצְאִי, tet͡s'iy
וַתָּבֹא, watavo'
אֶל־אֶרֶץ, 'el־'eret͡s
זוּלָתְךָ, zulatxa
תָּלִינִי, taliyniy
כָּל־הָעִיר, kal־haʕiyr
וַאֲנִי, wa'aniy
שִׁבְתָּה, šivtah
וְטָבַלְתְּ, wṭavalt
לְקַיֵם, lqayem
יַפְרִיד, yafriyd
עִם־הַמֵתִים, ʕim־hametiym
לְבֵית, lveyt
אַל־תִּפְגְּעִי־בִי, 'al־tifgʕiy־viy
נֶגֶד, neged
יִגְדָּלוּ, yigdalu
וַיָסַר, wayasar
כִּי־יָצְאָה, kiy־yat͡s'ah
עוֹֹד, ʕwod
מֵאַחֲרָיִךְ, me'aħarayix
אֶת־נְעָרָיו, 'et־nʕarayw
וַיְצַו, wayt͡saw
חַסְדֵּךְ, ħasdex
יִפֹּל, yipol
קָלִי, qaliy
לַקוֹֹצְרִים, laqwot͡sriym
בִּקְצֵה, biqt͡seh
אֵיפֹה, 'eyfoh
תִקְרֶאנָה, tiqre'nah
וְשַׂמְתְּ, wsamt
אֶגְאָל, 'eg'al
וְשָׁתִית, wšatiyt
וְנֶגֶד, wneged
כִּי־בָאָה, kiy־va'ah
הֱשִׁיבַנִי, hešiyvaniy
וְאָנָה, w'anah
וַיָמָד, wayamad
מִן־הַמָקוֹֹם, min־hamaqwom
לְאֹמֶנֶת, l'omenet
לֹא־עָזַב, lo'־ʕazav
אֶת־חֲמוֹֹתָה, 'et־ħamwotah
וְכִי, wxiy
וְאָסַפְתִּי, w'asaftiy
הַבַּיִת, habayit
שְׁבִי, šviy
וַיָמוּתוּ, wayamutu
בָנֶיהָ, vaneyha
כְנָפֶךָ, xnafexa
יֵשׁ, yeš
אֲשֶׁר־בָּאת, 'ašer־ba't
לְהַכִּירֵנִי, lhakiyreniy
עַל־אֲמָתְךָ, ʕal־'amatxa
וּלְנָעֳמִי, ulnaʕamiy
יְלָדַתּוּ, yladatu
כְּכֹל, kxol
הַשֵׁנִית, hašeniyt
יָלַדְתִּי, yaladtiy
אָמוּת, 'amut
מוֹֹאֲבִיָה, mwo'aviyah
לִבּוֹֹ, libwo
הֵרַע, heraʕ
הַמִטְפַּחַת, hamiṭpaħat
וַתִּתֶּן־לָה, watiten־lah
שָׁמַעַתְּ, šamaʕat
אֶת־רֵעֵהוּ, 'et־reʕehu
עִם־נַעֲרֹתָי, ʕim־naʕarotay
וַתְּגַל, watgal
מִן־הָרִאשׁוֹֹן, min־hari'šwon
בַדֶּרֶךְ, vaderex
חַסְדּוֹֹ, ħasdwo
עִם־הַנְעָרִים, ʕim־hanʕariym
אֲבִי, 'aviy
פָּעֳלֵךְ, paʕalex
וַיִקֶר, wayiqer
וְאֵלֶה, w'eleh
אֵלְכָה־נָא, 'elxah־na'
אם, 'm
תְּלַקֵט, tlaqeṭ
אָרְצָה, 'art͡sah
בַּחֲצִי, baħat͡siy
עַד־הָעָרֶב, ʕad־haʕarev
הָיִית, hayiyt
אֶת־שֵׂיבָתֵךְ, 'et־seyvatex
אֶת־חֲמוֹֹתֵךְ, 'et־ħamwotex
גֹּשִׁי, gošiy
[מַרְגְּלוֹֹתָיוֹֹ], [marglwotaywo]
מִן־הַזֶרַע, min־hazeraʕ
לֹא־אוּכַל, lo'־'uxal
כְּבֵית, kveyt
יְשַׁלֵם, yšalem
אֵין, 'eyn
וַתֵּלֶד, wateled
נָתַן, natan
זִקְנֵי, ziqney
אַל־תֵּלְכִי, 'al־telxiy
לַזְקֵנִים, lazqeniym
תֵלַכְנָה, telaxnah
וַאֲלַקֳטָה, wa'alaqaṭah
[וְאֵדְעָה], [w'edʕah]
אֶת־בֹּעַז, 'et־boʕaz
אָבִיךְ, 'aviyx
וּתְהִי, uthiy
וְשַׁדַּי, wšaday
אֲשֶׁר־עָשְׂתָה, 'ašer־ʕastah
יַחְפֹּץ, yaħpot͡s
מַדּוּעַ, maduʕa
וַתּוֹֹצֵא, watwot͡se'
כִּי־מִתְאַמֶצֶת, kiy־mit'amet͡set
שמלתך, שmltx
וּבָאת, uva't
עָלֶיהָ, ʕaleyha
יַגִּיד, yagiyd
גַם־שְׁנֵיהֶם, gam־šneyhem
לְפָנִים, lfaniym
דָּבָר, davar
וְהַזְקֵנִים, whazqeniym
עֲשָׂרָה, ʕasarah
הָאֹכֶל, ha'oxel
יִשְׁכַּב־שָׁם, yiškav־šam
וַיִתֵּן, wayiten
אִישָׁה, 'iyšah
נָגְעֵךְ, nagʕex
כְּאַחַת, k'aħat
אֶעֱשֶׂה־לָךְ, 'eʕeseh־lax
וְלִשְׁתּוֹֹת, wlištwot
נַעֲרָה, naʕarah
שֵׁשׁ־שְׂעֹרִים, šeš־sʕoriym
לְעַמֵךְ, lʕamex
וּבַאֲשֶׁר, uva'ašer
בַּחֹמֶץ, baħomet͡s
בְּרוּכָה, bruxah
