list, Map1
הַסַמִים, hasamiym
אֶת־הַדָבָר, 'et־hadavar
רָאֹה, ra'oh
רֹאֶה, ro'eh
רָאָה, ra'ah
רְאֵה, r'eh
עוֹֹלָם, ɣwolam
כִּכָּר, kikar
כִּכַּר, kikar
תֹאכֵלוּ, to'xel
תֹאכֵלוּ, to'xel
תֹאכְלוּ, to'xl
עַד־בֹּקֶר, ɣad־boqer
וּמֵת, met
וָמֵת, wamet
וַיַעֲשׂוּ־כֵן, wayaɣaS־xen
אֲלֵיכֶם, 'aleyxem
עַל־שְׁנֵי, ɣal־šney
יֵעָשֶׂה, yeɣaSeh
יַעֲשֶׂה, yaɣaSeh
וַיֵט, wayeṭ
גַם, gam
כְּכֹל, kxol
עַבְדוֹֹ, ɣavdwo
עִבְדוּ, ɣivd
בָּנָיו, banayw
בָנָיו, vanayw
עַמִי, ɣamiy
עִמִי, ɣimiy
וְאַרְבָּעִים, w'arbaɣiym
פִּתוּחֵי, pitħey
לָתֶת, latet
לָתֵת, latet
הַיְרִיעֹת, hayriyɣot
הַמַיִם, hamayim
הַמָיִם, hamayim
נְטֵה, nṭeh
תֵדַע, tedaɣ
לְפַרְעֹה, lfarɣoh
לַיְלָה, laylah
לָיְלָה, laylah
וְיִסָעוּ, wyisaɣ
וַיִסְעוּ, wayisɣ
וַיֵלֶךְ, wayelex
וַיִשְׁלַח, wayišlaħ
וַיְשַׁלַח, wayšalaħ
וִישַׁלַח, wiyšalaħ
אֶעֱשֶׂה, 'eɣeSeh
אֶת־שְׁתֵי, 'et־štey
הַבָּרָד, habarad
לְכַהֵן, lxahen
קַרְנֹתָיו, qarnotayw
וְעֹרֹת, wɣorot
וְכַפְתֹר, wxaftor
תִקַח, tiqaħ
תִקָח, tiqaħ
תִקָח, tiqaħ
שֵׁשֶׁת, šešet
וְהַחִתִי, whaħitiy
יִתֵן, yiten
כְּרֻבִים, kruviym
כְרֻבִים, xruviym
וַחֲמִשָׁה, waħamišah
הַנְחֹשֶׁת, hanħošet
מִלְמַטָה, milmaṭah
מִלְמָטָה, milmaṭah
מִלְמַטָה, milmaṭah
מִקְשָׁה, miqšah
יֵצֵא, yeṣe'
יֹצֵא, yoṣe'
עֲלֵיהֶם, ɣaleyhem
מִקָצָה, miqaṣah
יָדַעְתִי, yadaɣtiy
אַמָתַיִם, 'amatayim
מָה, mah
אַחֲרֵיהֶם, 'aħareyhem
וְהַטוּר, whaṭr
וַעֲשֵׂה, waɣaSeh
וְעָשָׂה, wɣaSah
וְעֹשֶׂה, wɣoSeh
הַצֲפַרְדְעִים, haṣafardɣiym
הַצְפַרְדְעִים, haṣfardɣiym
וַחֲמֻשִׁים, waħamušiym
וַחֲמִשִׁים, waħamišiym
וְאֶת־אַהֲרֹן, w'et־'aharon
בָּה, bah
בָה, vah
וְהֵבֵאתָ, wheve'ta
אֶת־בְּנֵי־יִשְׂרָאֵל, 'et־bney־yiSra'el
תִפְדֶה, tifdeh
תִפְדֶה, tifdeh
אַרְצָה, 'arṣah
אָרְצָה, 'arṣah
וְרֹחַב, wroħav
וְעָשׂוּ, wɣaS
אֶת־אַהֲרֹן, 'et־'aharon
וַיִשְׁמַע, wayišmaɣ
אֶת־בִּגְדֵי, 'et־bigdey
עַל־הַיָם, ɣal־hayam
וַחֲשֻׁקֵיהֶם, waħašuqeyhem
וּשְׁמַרְתֶם, šmartem
אֶת־יִשְׂרָאֵל, 'et־yiSra'el
הַשׁוֹֹר, hašwor
כְּפִי, kfiy
כַּפֵּי, kapey
כַפִּי, xapiy
לְכֹל, lxol
עַל־כֵּן, ɣal־ken
לְקַרְשֵׁי, lqaršey
יָדְךָ, yadxa
מֵעַל, meɣal
בְּשֵׁם, bšem
בְשֵׁם, všem
לָנוּ, lan
לָנוּ, lan
רֹקֵם, roqem
מִתוֹֹךְ, mitwox
וְהַיְבוּסִי, whayvsiy
מִחוּץ, miħṣ
יָד, yad
וְיָרַד, wyarad
וַיֵרֶד, wayered
הָעִבְרִים, haɣivriym
אִם־לֹא, 'im־lo'
לַעֲשֹׂת, laɣaSot
בַּמַחְבֶּרֶת, bamaħberet
בַּמַחְבָּרֶת, bamaħbaret
גְבִעִים, gviɣiym
לְכוּ, lx
רֵעֵהוּ, reɣeh
בְּרִית, briyt
אֶל־אֹהֶל, 'el־'ohel
זֵר, zer
הַשְׁלִישִׁי, hašliyšiy
וָוֵי, wawey
כָמֹהוּ, xamoh
כָּמֹהוּ, kamoh
מִלְמָעְלָה, milmaɣlah
בָּהֵמָה, bahemah
בְּהֵמָה, bhemah
רָבוּעַ, ravɣa
מְשֻׁקָדִים, mšuqadiym
מְלָאכָה, mla'xah
מִפָּנֶיךָ, mipaneyxa
כֹּה־אָמַר, koh־'amar
לָאֹהֶל, la'ohel
לְאֹהֶל, l'ohel
וּתְכֵלֶת, txelet
אֶתֵן, 'eten
אֶת־מִזְבַּח, 'et־mizbaħ
עַתָה, ɣatah
מִלֵא, mile'
מָלֵא, male'
מְלֹא, mlo'
אֶת־הָאֹהֶל, 'et־ha'ohel
שַׁעַר, šaɣar
וְשָׁם, wšam
וְשֵׁם, wšem
בָרָד, varad
בָּרָד, barad
הָעַרְבָּיִם, haɣarbayim
הָעַרְבַּיִם, haɣarbayim
הָעֲרְבַּיִם, haɣarbayim
בַּעֲבוּר, baɣavr
עֲלֵהֶם, ɣalehem
לְבָד, lvad
לְבַד, lvad
אֶל־מוּל, 'el־ml
הַכֹּהֵן, hakohen
עֹרֹת, ɣorot
בְּשֶׁקֶל, bšeqel
בַּיָם, bayam
בַיָם, vayam
מָסַךְ, masax
מָסָךְ, masax
אֶת־פְּנֵי, 'et־pney
אֶת־פָּנָי, 'et־panay
עֲבָדָיו, ɣavadayw
אָדָם, 'adam
אֹדֶם, 'odem
