list, Map1
כְּמוֹֹ־שָׁחַר, kmwo־šaħar
חָמַק, ħamaq
אֱגוֹֹז, 'egwoz
תְלַמְדֵנִי, tlamdeniy
הָסֵבִּי, hasebiy
הַזָמִיר, hazamiyr
עֵר, ɣer
כֹּל, kol
עַמוּדֵי, ɣamdey
וְלִלְקֹט, wlilqoṭ
הַשֵׁן, hašen
כַּכַּרְמֶל, kakarmel
אֶת־גְדִיֹתַיִךְ, 'et־gdiyotayix
בָאָרֶץ, va'areṣ
רֵיחַ, reyħa
אֶת־כָּל־הוֹֹן, 'et־kal־hwon
שֶׁיְדֻבַּר־בָּה, šeydubar־bah
עֲרֵמַת, ɣaremat
עַל־מִלֵאת, ɣal־mile't
כְּאֶשְׁכְּלוֹֹת, k'ešklwot
רָצוּף, raṣf
כִּירִיעוֹֹת, kiyriyɣwot
אֲבִיאֲךָ, 'aviy'axa
לְחָיָו, lħayaw
אָרֶז, 'arez
הָפִיחִי, hafiyħiy
נָרוּצָה, narṣah
פַּרְדֵס, pardes
הַתַפּוּחַ, hatapħa
מְצָאֻנִי, mṣa'uniy
גֶדִי, gediy
הַנִשְׁקָפָה, hanišqafah
עֲלָמוֹֹת, ɣalamwot
עַל־מִשְׁכָּבִי, ɣal־miškaviy
אִכְלוּ, 'ixl
אֶת־דֹדַי, 'et־doday
כְּיוֹֹנִים, kywoniym
חֲלָאִים, ħala'iym
חִטִים, ħiṭiym
קְוּצוֹֹתָיו, qṣwotayw
שֹׁמְרֵי, šomrey
עָנָנִי, ɣananiy
שֶׁעָבַרְתִי, šeɣavartiy
חִכּוֹֹ, ħikwo
לְסֻסָתִי, lsusatiy
נָטְפוּ־מוֹֹר, naṭf־mwor
וּפִילַגְשִׁים, fiylagšiym
אֲטַנְפֵם, 'aṭanfem
בְּרִכְבֵי, brixvey
רֹאשׁוֹֹ, ro'šwo
הַמַחֲנָיִם, hamaħanayim
בַּכְּפָרִים, bakfariym
הַמָזֶג, hamazeg
הַמַנְעוּל, hamanɣl
וְדִגְלוֹֹ, wdiglwo
רַבִּים, rabiym
אֲחֻזֵי, 'aħuzey
לִבַּבְתִינִי, libavtiyniy
אָכַלְתִי, 'axaltiy
הָרֹעִים, haroɣiym
הָמוֹֹן, hamwon
אִם־לֹא, 'im־lo'
בְּאַרְצֵנוּ, b'arṣen
כַלְבָנָה, xalvanah
אַחַר, 'aħar
וּרְאֶינָה, r'eynah
חֲבֵרִים, ħaveriym
וַאֲנִי, wa'aniy
אֵשׁ, 'eš
בְּחַגְוֵי, bħagwey
צְאִי־לָךְ, ṣ'iy־lax
גַל, gal
כְּשׁוֹֹשַׁנָה, kšwošanah
כְּעֹטְיָה, kɣoṭyah
מִכֹּל, mikol
וְדַלַת, wdalat
חָלַף, ħalaf
שְׁלָחַיִךְ, šlaħayix
וּפִרְיוֹֹ, firywo
לֹא־יָבוּזוּ, lo'־yavz
הַשָׁנִי, hašaniy
דִמִיתִיךְ, dimiytiyx
רִמֹנִי, rimoniy
אֶת־הַכְּרָמִים, 'et־hakramiym
אֶת־דוֹֹדִי, 'et־dwodiy
וְעַל־פְּתָחֵינוּ, wɣal־ptaħeyn
כִּמְחֹלַת, kimħolat
בְּרוֹֹתִים, brwotiym
גַנִי, ganiy
שֶׁהֵם, šehem
מֵצִיץ, meṣiyṣ
רֹחֲצוֹֹת, roħaṣwot
כָּאַרְגָמָן, ka'argaman
בְּכַרְמֵי, bxarmey
וְשָׁדַיִם, wšadayim
הַמָגֵן, hamagen
וּשְׁמֹנִים, šmoniym
חַמוּקֵי, ħamqey
מַשְׁגִיחַ, mašgiyħa
מֵהֶם, mehem
לְשׁוֹֹנֵךְ, lšwonex
לְכַבּוֹֹת, lxabwot
אֶת־רְדִידִי, 'et־rdiydiy
כְּמוֹֹ, kmwo
גַם, gam
אֶלְבָּשֶׁנָה, 'elbašenah
חַיִים, ħayiym
פְצָעוּנִי, fṣaɣniy
תוֹֹרֵי, tworey
לָיְלָה, laylah
מְיֻסָדִים, myusadiym
הַטוֹֹב, haṭwov
כֶּרֶם, kerem
לְפָנָי, lfanay
בְּצִלוֹֹ, bṣilwo
הַנָחַל, hanaħal
עַל־אֲפִיקֵי, ɣal־'afiyqey
רְסִיסֵי, rsiysey
הִכּוּנִי, hikniy
שֵׁשׁ, šeš
יוּכְלוּ, yxl
עַל־הַגְבָעוֹֹת, ɣal־hagvaɣwot
פְּנֵי, pney
שֶׁמָצָאתִי, šemaṣa'tiy
קְטַנָה, qṭanah
תוֹֹכוֹֹ, twoxwo
אֲמָנָה, 'amanah
שְׁתוּ, št
וּמָאתַיִם, ma'tayim
לִבּוֹֹ, libwo
בְתָמָר, vtamar
נִשְׁמַע, nišmaɣ
בְּפִרְיוֹֹ, bfirywo
וְנִשְׂמְחָה, wniSmħah
עַל־הָרֵי, ɣal־harey
תַלְתַלִים, taltaliym
רחיטנו, rħyṭnw
אַבְקַת, 'avqat
וּדְמֵה־לְךָ, dmeh־lxa
הַנִצָנִים, haniṣaniym
בִּקַשְׁתִי, biqaštiy
אִמֶךָ, 'imexa
בַּתַפּוּחִים, batapħiym
מִטָתוֹֹ, miṭatwo
רִשְׁפֵּי, rišpey
אִם, 'im
וְכַרְכֹּם, wxarkom
פָּשַׁטְתִי, pašaṭtiy
שִׂפְתֵי, Siftey
שֶׁאֲנִי, še'aniy
תְאוֹֹמֵי, t'womey
שֶׁלִשְׁלֹמֹה, šelišlomoh
הַשׁוּלַמִית, hašlamiyt
וְאִם־דֶלֶת, w'im־delet
בָּאֲשִׁישׁוֹֹת, ba'ašiyšwot
יְדֵי, ydey
צוֹֹפֶה, ṣwofeh
מִצַוְּרֹנָיִךְ, miṣaronayix
הַתוֹֹר, hatwor
מִגִבֹּרֵי, migiborey
קְוֻּצוֹֹתַי, quṣwotay
וּרְעִי, rɣiy
גְלִילֵי, gliyley
נַעֲשֶׂה־לָךְ, naɣaSeh־lax
נָעִים, naɣiym
קוֹֹמָתֵךְ, qwomatex
וְקוֹֹל, wqwol
יִשְׂרָאֵל, yiSra'el
חַרְבּוֹֹ, ħarbwo
אָקוּמָה, 'aqmah
אֶעֱלֶה, 'eɣeleh
שׁוֹֹקָיו, šwoqayw
עֵין, ɣeyn
פַרְעֹה, farɣoh
רְאִיתֶם, r'iytem
שָׁלוֹֹם, šalwom
כַמָוֶת, xamawet
אָז, 'az
פְעָמַיִךְ, fɣamayix
כִשְׁאוֹֹל, xiš'wol
וְחִכֵּךְ, wħikex
מְקַפֵּץ, mqapeṣ
נֵצֵא, neṣe'
עוֹֹרַרְתִיךָ, ɣworartiyxa
הַחוֹֹחִים, haħwoħiym
