list, Map1
שַׁבָּת, šabat
עֶרְכְּךָ, ʕerkxa
מִקֶרֶב, miqerev
וּבְיוֹֹם, uvywom
וּבַיוֹֹם, uvaywom
וַיַקְטֵר, wayaqṭer
אֶל־יְסוֹֹד, 'el־yswod
שְׁנַת, šnat
אַחֲרֵי, 'aħarey
שׁוֹֹק, šwoq
אֹיְבֵיכֶם, 'oyveyxem
עַל־הָאָרֶץ, ʕal־ha'aret͡s
בְּשַׂר, bsar
בָשָׂר, vasar
בָּשָׂר, basar
וְהָיְתָה, whaytah
וּשְׁמַרְתֶּם, ušmartem
יִשְׁכַּב, yiškav
מִקְרָא־קֹדֶשׁ, miqra'־qodeš
הַגָּר, hagar
הַגֵּר, hager
אֶת־יָדוֹֹ, 'et־yadwo
אֶת־ידו, 'et־ydw
יֵעָשֶׂה, yeʕaseh
יַעֲשֶׂה, yaʕaseh
אֵלֶה, 'eleh
אָלָה, 'alah
הַיוֹֹם, haywom
עַמוֹֹ, ʕamwo
עִמוֹֹ, ʕimwo
תִּשְׁמְרוּ, tišmru
תִּשְׁמֹרוּ, tišmoru
הַכֹּהֲנִים, hakohaniym
מִנְחָה, minħah
בְּנֵי־יִשְׂרָאֵל, bney־yisra'el
בְנֵי־יִשְׂרָאֵל, vney־yisra'el
בְּתוֹֹכְכֶם, btwoxxem
אָחִיךָ, 'aħiyxa
אֶת־בְּגָדָיו, 'et־bgadayw
תַּקְרִיבוּ, taqriyvu
תַקְרִיבוּ, taqriyvu
וְאָשֵׁם, w'ašem
וְאִשָׁה, w'išah
וְאִשֶׁה, w'išeh
אֱלֹהָיו, 'elohayw
מַצוֹֹת, mat͡swot
מִצְוֺת, mit͡swot
פַּר, par
וְנִכְרְתָה, wnixrtah
מֵאֵת, me'et
הַשָׂדֶה, hasadeh
וְכִי, wxiy
בַּדָּם, badam
בְּדַם, bdam
הַכְּלָיֹת, haklayot
וּבָא, uva'
תַּחַת, taħat
מִבַּיִת, mibayit
מִבֵּית, mibeyt
בָּה, bah
בָה, vah
אֶת־בְּנֵי, 'et־bney
בַּבְּהֵמָה, babhemah
בִּבְהֵמָה, bivhemah
וַאֲכַלְתֶּם, wa'axaltem
וְאִם־לֹא, w'im־lo'
אֲשֶׁר־לוֹֹ, 'ašer־lwo
רֵיחַ, reyħa
קָדוֹֹשׁ, qadwoš
אֲשֶׁר־בּוֹֹ, 'ašer־bwo
כִּי־יִהְיֶה, kiy־yihyeh
עֲלֵיכֶם, ʕaleyxem
עַל־הַקֶרֶב, ʕal־haqerev
אֶת־נַפְשֹׁתֵיכֶם, 'et־nafšoteyxem
עֶרְוָתָה, ʕerwatah
שֵׂעָר, seʕar
עָמֹק, ʕamoq
וְטִהֲרוֹֹ, wṭiharwo
וּלְבָנָיו, ulvanayw
עֲבֹדָה, ʕavodah
יַקְרִיב, yaqriyv
אֶל־מְקוֹֹם, 'el־mqwom
אֶל־מָקוֹֹם, 'el־maqwom
גֵּרָה, gerah
גֵרָה, gerah
אָדָם, 'adam
וּבְעַד, uvʕad
אַיִל, 'ayil
אֵיל, 'eyl
בְּעֶרְכְּךָ, bʕerkxa
בְעֶרְכֶּךָ, vʕerkexa
בְּעֶרְכֶּךָ, bʕerkexa
כֵּן, ken
מֵעַמֶיהָ, meʕameyha
אֶת־דָּמוֹֹ, 'et־damwo
בַּהֶרֶת, baheret
בֶּהָרֹת, beharot
בַהֶרֶת, vaheret
בְּאֶרֶץ, b'eret͡s
בָּאָרֶץ, ba'aret͡s
וְהִקְרַבְתֶּם, whiqravtem
נָתַן, natan
נֹתֵן, noten
לְהַקְרִיב, lhaqriyv
לְאַהֲרֹן, l'aharon
בְּבֶגֶד, bveged
בַּבֶּגֶד, babeged
עַל־הָאֵשׁ, ʕal־ha'eš
הָרִאשׁוֹֹן, hari'šwon
וְאֶת־הַיֹתֶרֶת, w'et־hayoteret
לָאִישׁ, la'iyš
לְאִישׁ, l'iyš
אֵשׁ, 'eš
הַבַּיִת, habayit
הַבָּיִת, habayit
אֶת־הַחֵלֶב, 'et־haħelev
כָּל־מְלֶאכֶת, kal־mle'xet
שִׁכְבַת־זָרַע, šixvat־zaraʕ
שִׁכְבַת־זֶרַע, šixvat־zeraʕ
וְהַנוֹֹתָר, whanwotar
שֶׁקֶץ, šeqet͡s
בְּכֹל, bxol
מִמֶנָה, mimenah
אָשֹׁם, 'ašom
אָשַׁם, 'ašam
אָשָׁם, 'ašam
מִן־הַדָּם, min־hadam
זָכָר, zaxar
וַיִשְׁחַט, wayišħaṭ
וַיִשְׁחָט, wayišħaṭ
טְמֵאָה, ṭme'ah
יָבֹא, yavo'
מֵעַל, meʕal
מַעַל, maʕal
הָעָם, haʕam
מִחוּץ, miħut͡s
תִּתְּנוּ, titnu
תִתְּנוּ, titnu
שֵׁנִית, šeniyt
אַךְ, 'ax
אָבִיךָ, 'aviyxa
בָכֶם, vaxem
בָּכֶם, baxem
יְסִירֶנָה, ysiyrenah
תֵעָשֶׂה, teʕaseh
תַּעֲשֶׂה, taʕaseh
תֵּעָשֶׂה, teʕaseh
הַנֶפֶשׁ, hanefeš
אֶל־אֹהֶל, 'el־'ohel
בָּנָיו, banayw
בָנָיו, vanayw
וְאֶל־בָּנָיו, w'el־banayw
עֶשֶׂר, ʕeser
עָשָׂר, ʕasar
עַל־תְּנוּךְ, ʕal־tnux
לֹא־פָשָׂה, lo'־fasah
תָּמִיד, tamiyd
וְיָרֵאתָ, wyare'ta
מִן־הַשֶׁמֶן, min־hašemen
עָשׂוּ, ʕasu
פָנַי, fanay
פְּנֵי, pney
וְטָמְאוּ, wṭam'u
וְטִמְאוֹֹ, wṭim'wo
וְהִסְגִּיר, whisgiyr
וּמִן־הַגֵּר, umin־hager
הַקְהֵל, haqhel
הַקָהָל, haqahal
הַיָמִין, hayamiyn
תְּמִימָה, tmiymah
תְמִימָה, tmiymah
בַּבָּקָר, babaqar
בַּבֹּקֶר, baboqer
אֶת־שֵׁם, 'et־šem
וְאַחַר, w'aħar
וְהִקְרִיבוֹֹ, whiqriyvwo
וְהִקְרִיבוּ, whiqriyvu
אִתְּךָ, 'itxa
אִתָּךְ, 'itax
יְמֵי, ymey
רַגְלוֹֹ, raglwo
לְךָ, lxa
לָךְ, lax
יְכַפֵּר, yxaper
עַמָם, ʕamam
עִמָם, ʕimam
כָּל־יְמֵי, kal־ymey
