list, Map1
לְמִדְבַּר, lmidbar
תֵלַכְנָה, telaxnah
הַחַלוֹֹנִים, haħalwoniym
וְיַעֲלוּ, wyaʕal
וְגַם־עַתָה, wgam־ʕatah
בַּבָּתִים, babatiym
חֵילוֹֹ, ħeylwo
בָּכֶם, baxem
וּבְנֵיכֶם, vneyxem
לְהַפְלִיא, lhafliy'
יְרוּצוּן, yrcn
כַּגַנָב, kaganav
עָלֶיהָ, ʕaleyha
אֹצָרוֹֹת, 'ocarwot
וְהַתִירוֹֹשׁ, whatiyrwoš
וַעֲרָפֶל, waʕarafel
עָשָׁן, ʕašan
לְשַׁמָה, lšamah
לָבִיא, laviy'
יָבֹאוּ, yavo'
דִבֵּר, diber
אֲשֶׁר־שָׁפְכוּ, 'ašer־šafx
תְלַהֵט, tlaheṭ
נְעוּרֶיהָ, nʕreyha
בְּיַד, byad
שִׁלְחוּ, šilħ
גֶשֶׁם, gešem
נִמְנַע, nimnaʕ
לַיוֹֹם, laywom
חֶזְיֹנוֹֹת, ħezyonwot
וּבָעֵת, vaʕet
וַיִשְׁתוּ, wayišt
חוֹֹמָה, ħwomah
דוֹֹר, dwor
גֶבֶר, gever
וּבְכוּ, vx
מֵחֶדְרוֹֹ, meħedrwo
וּבְצוֹֹם, vcwom
שָׂדַי, saday
דָם־נָקִיא, dam־naqiy'
דָמָם, damam
אַל־תִירְאוּ, 'al־tiyr'
וּכְפָרָשִׁים, xfarašiym
אַפַּיִם, 'apayim
חֵילִי, ħeyliy
כֹּרְמִים, kormiym
וְהָיְתָה, whaytah
יוֹֹדֵעַ, ywodeʕa
אֶת־שְׁבוּת, 'et־švt
דָשְׁאוּ, daš'
אֶל־יוֹֹאֵל, 'el־ywo'el
וְנִקְבָּצוּ, wniqbac
אָחִיו, 'aħiyw
שָׂשׂוֹֹן, saswon
בָּעִיר, baʕiyr
וּשְׂבַעְתֶם, svaʕtem
וְהֵשִׁיקוּ, whešiyq
יוֹֹשְׁבֵי, ywošvey
לַהַב, lahav
וְעַל־שְׂעֹרָה, wʕal־sʕorah
אֲבֹתֵיכֶם, 'avoteyxem
וְלֶהָבָה, wlehavah
וְנִקֵיתִי, wniqeytiy
עַל־רָאשֵׁי, ʕal־ra'šey
וְשִׁלַמְתִי, wšilamtiy
קָדְשִׁי, qadšiy
מְשַׁלְמִים, mšalmiym
קִרְאוּ־זֹאת, qir'־zo't
אֶת־בְּנֵיכֶם, 'et־bneyxem
אֲשֶׁר־כַּסְפִּי, 'ašer־kaspiy
אַרְיֵה, 'aryeh
עַד־שְׁנֵי, ʕad־šney
בָּרִאשׁוֹֹן, bari'šwon
אֶת־שֵׁם, 'et־šem
רִמוֹֹן, rimwon
אֹרְחוֹֹתָם, 'orħwotam
וַיַעַן, wayaʕan
גִילוּ, giyl
וְזָרִים, wzariym
וַאֲפֵלָה, wa'afelah
נָבֹכוּ, navox
הֶחָסִיל, heħasiyl
גוֹֹרָל, gworal
וַיוֹֹרֶד, waywored
אֶרֶץ, 'erec
הַטֹבִים, haṭoviym
לִשְׁבָאיִם, lišva'yim
מִן־הָעוֹֹלָם, min־haʕwolam
רָעָתָם, raʕatam
בַשַׂקִים, vasaqiym
בָאְשׁוֹֹ, va'šwo
שֻׁבוּ, šuv
עַל־כָּל־בָּשָׂר, ʕal־kal־basar
וְאַל־בִּגְדֵיכֶם, w'al־bigdeyxem
מִסְפָּר, mispar
אֶת־הַשָׁנִים, 'et־hašaniym
יִמָלֵט, yimaleṭ
עוֹֹלָלִים, ʕwolaliym
לֹא־הָיְתָה, lo'־haytah
אֶת־נַחַל, 'et־naħal
בְּהַר־צִיוֹֹן, bhar־ciywon
הַר־קָדְשִׁי, har־qadšiy
מוֹֹרֶה, mworeh
נָשַׁמוּ, našam
בֵּין, beyn
וְנוֹֹרָא, wnwora'
מָכְרוּ, maxr
יִטְפוּ, yiṭf
נֶאְשָׁמוּ, ne'šam
לְקַחְתֶם, lqaħtem
בֶּן־פְּתוּאֵל, ben־pt'el
חִגְרוּ, ħigr
בְּרָכָה, braxah
הָאַחֲרוֹֹן, ha'aħarwon
כַּאֲשֶׁר, ka'ašer
צִיָה, ciyah
לִהֲטָה, lihaṭah
יֵעוֹֹרוּ, yeʕwor
לְדָם, ldam
נָשָׂא, nasa'
וְיִצְהָר, wyichar
לִרְמָחִים, lirmaħiym
הַצֹאן, haco'n
גְלִילוֹֹת, gliylwot
הֲבֵאתֶם, have'tem
יַחֲלֹמוּן, yaħalomn
וּמָלְאוּ, mal'
מַה־נֶאֶנְחָה, mah־ne'enħah
וּבַשְׂרִידִים, vasriydiym
וּמַזְמְרֹתֵיכֶם, mazmroteyxem
נָתְנוּ, natn
אָדָם, 'adam
לִינוּ, liyn
וּמַחֲמַדַי, maħamaday
בְּהַר, bhar
הַגְמוּל, hagml
עָסִיס, ʕasiys
וּשְׂמָחִי, smaħiy
עַל־עַמוֹֹ, ʕal־ʕamwo
כִּי־גוֹֹי, kiy־gwoy
וָאָרֶץ, wa'arec
שִׁנָיו, šinayw
הַזְקֵנִים, hazqeniym
הַקַדְמֹנִי, haqadmoniy
אִכָּרִים, 'ikariym
מִי, miy
לְהֵיכְלֵיכֶם, lheyxleyxem
הוֹֹבִישׁ, hwoviyš
עַל־חִטָה, ʕal־ħiṭah
וַיִתְנוּ, wayitn
עָלָה, ʕalah
, 
אָבְלוּ, 'avl
וּבִירוּשָׁלַם, viyršalam
וְהִדַחְתִיו, whidaħtiyw
אֶרֶךְ, 'erex
וְעַל־הַשְׁפָחוֹֹת, wʕal־hašfaħwot
יְכִילֶנוּ, yxiylen
כִּי־הִגְדִיל, kiy־higdiyl
כִּבְתוּלָה, kivtlah
הֹבִישׁ, hoviyš
דָם, dam
הָכְרַת, haxrat
קַל, qal
הֵשִׁיקוּ, hešiyq
כָּמֹהוּ, kamoh
כְּגִבּוֹֹרִים, kgibworiym
קָשׁ, qaš
הַהוּא, hah'
וְהַגְבָעוֹֹת, whagvaʕwot
וְכָל־אֲפִיקֵי, wxal־'afiyqey
לִקְצָפָה, liqcafah
בָקָר, vaqar
וְנִשְׁפַּטְתִי, wnišpaṭtiy
צִיוֹֹן, ciywon
אִתֵיכֶם, 'iteyxem
בִּמְסִלָתוֹֹ, bimsilatwo
וְהַתְאֵנָה, what'enah
צַחֲנָתוֹֹ, caħanatwo
וְרָעֲשׁוּ, wraʕaš
יִבְצָעוּ, yivcaʕ
וְהָרִיעוּ, whariyʕ
יוֹֹסֵף, ywosef
לִבְנֵיהֶם, livneyhem
וְהִשְׁקָה, whišqah
לְאַרְצוֹֹ, l'arcwo
וְקִרְעוּ, wqirʕ
שִׁמְעוּ־זֹאת, šimʕ־zo't
וּבְעַד, vʕad
יְרַקֵדוּן, yraqedn
וּבָאָרֶץ, va'arec
וְהַיַלְדָה, whayaldah
אֲשֶׁר־יִקְרָא, 'ašer־yiqra'
אָבַד, 'avad
גַם־בַּהֲמוֹֹת, gam־bahamwot
עִמָכֶם, ʕimaxem
וְיֹאמְרוּ, wyo'mr
הָעִירוּ, haʕiyr
בַּהֲמוֹֹת, bahamwot
בְּעַד, bʕad
עֶדְרֵי, ʕedrey
וְיֹנְקֵי, wyonqey
מִפִּיכֶם, mipiyxem
וְאֶת־הַצְפוֹֹנִי, w'et־hacfwoniy
וְלֹא, wlo'
