list,           Map1
כֶּעָפָר,           keʕafar
נַחַל,            naħal
חַיָי,            ħayay
בִּימֵי,           biymey
וְיִשְׂמְחוּ,         wyismħu
שֹׁמֵעַ,            šomeaʕ
נָקִי,            naqi
נָתַן,            natan
נֹתֵן,            noten
שָׁלוֹֹם,           šalom
אֶפְתַח,           eftaħ
עַד,             ʕad
עָמְדוּ,           ʕamdu
עֶזְרָתִי,          ʕezrati
וּשְׂפָתֶיךָ,         sfatexa
בֵּיתִי,           beyti
כִּימֵי,           kiymey
תִשָׁבֵר,           tišaver
בֶּעָפָר,           beʕafar

אַתֶם,            atem
אָמַרְתָ,           amarta
מַעֲשֶׂה,           maʕase
חָטְאוּ,           ħaṭ'u
אָמְנָם,           omnam
אוֹֹרוֹֹ,           oro
בּוּז,            buz
נָא,             na'
מִתַחַת,           mitaħat
גְמַלִים,          gmalim

לֵב,             lev
לָעַד,            laʕad
בַּחֹשֶׁךְ,           baħošex
בִּנְפֹל,           binfol
לָה,             la

אֵימָה,           eyma
נֶפֶשׁ,            nefeš
מִפְּנֵי,           mipney
מִשַׁדַי,           mišaday
רוּחַ,            ruaħ




יוֹֹם,            yom
תֵבֵל,            tevel
יַגִיעַ,           yagiyaʕ
יִרְאוּ,           yir'u
עַצְמִי,           ʕat͡smi

זַךְ,             zax
עֲרָבָה,           ʕarava
כּוֹֹכְבֵי,          koxvey
עֹז,             ʕoz

הַאַף,            ha'af
עוֹֹרוֹֹ,           ʕoro
יִבּוֹֹל,           yibol
יְבוּל,           yvul

וְאֵי,            w'ey
כִּי,                 ki
לֹא,                 lo'
לְעוֹֹלָם,              lʕolam
נַפְשִׁי,               nafšiy
לִי,                 liy
אַתָה,                ata
אֲשֶׁר,                ašer
עֲלֵי,                ʕaley
עָלַי,                ʕalay
מִזְמוֹֹר,              mizmwor
חַסְדוֹֹ,               ħasdwo
יִשְׂרָאֵל,              yisra'el
רְשָׁעִים,              ršaʕiym
אָדָם,                adam
עֹשָׂה,                ʕosa
עֹשֶׂה,                ʕose
עָשָׂה,                ʕasa
עֲשֵׂה,                ʕase
לְךָ,                 lxa
לָךְ,                 lax
שִׁיר,                šir
הָאָרֶץ,               ha'aret͡s
אֵלֶיךָ,               elexa
לְמַעַן,               lmaʕan
שִׁמְךָ,                šimxa
מִמֶנִי,               mimeni
וַאֲנִי,               wa'ani
לָהֶם,                lahem
מְאֹד,                m'od
לִבִּי,                libi
אֶל,                 el
אֲנִי,                ani
אַשְׁרֵי,               ašrey
בְּךָ,                 bxa
בָּךְ,                 bax
כָּל־הַיוֹֹם,            kal-hayom
רֶשַׁע,                rešaʕ
רָשָׁע,                rašaʕ
בָּאָרֶץ,               ba'aret͡s
חַסְדֶךָ,               ħasdexa
חֲסָדֶךָ,               ħasadexa
שָׁמָיִם,               šamayim
לוֹֹ,                 lo
לוּ,                 lu
פָּנֶיךָ,               panexa
פָּנַיִךְ,               panayix
אָרֶץ,                aret͡s
אֶרֶץ,                eret͡s
עַמִים,               ʕamim
שְׁמוֹֹ,                šmo
יַעֲקֹב,               yaʕaqov

וְנִשְׁמַת,          wnišmat

תִקָחֶנוּ,          tiqaħenu
אֶשְׁאָלְךָ,          eš'alxa
הֲפָכָם,           hafaxam
יַיִן,            yayin
וְגֶשֶׁם,           wgešem
לִבּוֹֹ,            libwo
יוֹֹמָם,           yomam
חֶרֶשׂ,            ħeres
עוֹֹר,            ʕor
בָּנוֹֹת,           banot
יָמֶיךָ,           yamexa
רָאָה,            ra'a
רְאֵה,            r'e
יַחְשֹׁב,           yaħšov
עוֹֹלָם,           ʕolam
אַרְבָּעָה,          arbaʕa
בְּאֶחָד,           b'eħad
הוֹֹד,            hod
בָּתִים,           batim
אֵלֶךְ,            elex
יֵשְׁבוּ,           yešvu
יָשְׁבוּ,           yašvu
עֵינַיִם,          ʕeynayim
שָׁלֶג,            šaleg
כּוֹֹכָבִים,         koxavim
אַחֵר,            aħer
אֹזֶן,            ozen
עָלֶיךָ,           ʕalexa
עֵת,             ʕet
יָצְאוּ,           yat͡s'u
פָּעֲרוּ,           paʕaru
בָּאוֹֹר,           ba'or
בְּאוֹֹר,           b'wor
אָב,             av
נֶהְפַּךְ,           nehpax
רַק,             raq
בָּרִיחַ,           bariaħ
אַחַי,            aħay
שְׂפָתָיו,          sfataw
אֹכְלִים,          oxlim
עֶשֶׂר,            ʕeser
כַּצֵל,            kat͡sel
לְבָבִי,           lvavi
אִתוֹֹ,            ito
אֹתוֹֹ,            oto
חֹק,             ħoq
שָׁנִים,           šanim
יָצְאָה,           yat͡s'a
וּלְרוּחַ,          ulruaħ
