list, Map1
הַלַיְלָה, halayla
עַל־פָּנַי, ʕal־panay
עַל־פְּנֵי, ʕal־pney
הַיָם, hayam
לְיָמִים, lyamiym
אֲחֵיהֶם, aħeyhem
אֲחִיהֶם, aħiyhem
וְנַפְשׁוֹֹ, wnafšwo
פָּרַץ, parat͡s
פֶרֶץ, feret͡s
דָרֶךְ, darex
דֶרֶךְ, derex
דַלְתֵי, daltey
דְלָתַי, dlatay
וּתְהִי, thi
וַתְהִי, wathi
עָלֶיהָ, ʕaleyha
עֲלֵיהֶם, ʕaleyhem
הִכּוּ, hik
וַתֹאמֶר, wato'mer
גָבֶר, gaver
גֶבֶר, gever
וְצַלְמָוֶת, wt͡salmawet
אָהֳלֶךָ, ahalexa
אֶהֱלֹךְ, ehelox
יְשׁוּרֶנָה, yšrena
יִקָח, yiqaħ
יֻקָח, yuqaħ
צַדִיק, t͡sadiyq
לְהִתְיַצֵב, lhityat͡sev
נָתִיב, natiyv
הִיא, hi'
יָמָיו, yamayw
אָמְרוּ, amr
אִמְרוֹֹ, imrwo
מֵאַיִן, me'ayin
כֹּחַ, koħa
כֹחַ, xoħa
דַלִים, daliym
דַלִים, daliym
חָרֶב, ħarev
חֶרֶב, ħerev
בְּיָדוֹֹ, byadwo
בִטְנִי, viṭni
בִּטְנִי, biṭni
וַיִחַר, wayiħar
וַיַחַר, wayaħar
אָכְלָה, axla
אֲכַלֶה, axale
שְׁחָקִים, šħaqiym
וְהוֹֹדִיעֵנִי, whwodiyʕeni
יְשַׁוֵּעוּ, yšaeʕ
יְשַׁוְּעוּ, yšaʕ
וְשֹׁתִים, wšotiym
וּשְׁתַיִם, štayim
אַחֲרִישׁ, aħariyš
וְיָדַעְתָ, wyadaʕta
עַל־יְהוָה, ʕal־yhwa
דַרְכָּם, darkam
מָוֶת, mawet
בָּה, ba
יִשְׁמָע, yišmaʕ
יִשְׁמַע, yišmaʕ
וּמִשְׁפַּט, mišpaṭ
וּמִשְׁפָּט, mišpaṭ
בְּבֹר, bvor
בַבָּר, vabar
אַחֲרָיו, aħarayw
אֲנָשִׁים, anašiym
בֵּית, beyt
בַּיִת, bayit
חָרָה, ħara
אַרְצָה, art͡sa
אָרְצָה, art͡sa
אוֹֹנוֹֹ, wonwo
יָרֵא, yare'
יְרֵא, yre'
בְּשָׂרוֹֹ, bsarwo
בְשָׂרוֹֹ, vsarwo
מִבְּלִי, mibli
וְנַחֲלַת, wnaħalat
לָשׁוֹֹן, lašwon
לְשׁוֹֹן, lšwon
יָכִין, yaxiyn
כֻלָה, xula
כֻּלָה, kula
כָּלָה, kala
יָשִׂימוּ, yasiym
שְׁמַע־לִי, šmaʕ־li
יֵאָסֵף, ye'asef
יֶאֱסֹף, ye'esof
שְׁלֹשֶׁת, šlošet
בִטְנוֹֹ, viṭnwo
בִּטְנוֹֹ, biṭnwo
יְחַלֵק, yħaleq
יַחֲלֹק, yaħaloq
יֵחָלֶק, yeħaleq
גַם־אֲנִי, gam־'ani
גַם־אָנִי, gam־'ani
שָׁמְעָה, šamʕa
שִׁמְעָה, šimʕa
כִּי־אָז, ki־'az
אֲשַׁוַּע, ašaaʕ
אֲשַׁוֵּעַ, ašaeʕa
הַשָׁמַיִם, hašamayim
חִנָם, ħinam
יָדַעְתָ, yadaʕta
ידעת, ydʕt
וְעַל, wʕal
פָּנֶיךָ, paneyxa
פָנֶיךָ, faneyxa
מִמֶנָה, mimena
מֵרֶחֶם, mereħem
טוֹֹב, ṭwov
רֶגַע, regaʕ
רָגַע, ragaʕ
מֵעֵבֶר, meʕever
מֵעֲבֹר, meʕavor
לֶחֶם, leħem
לָחֶם, laħem
וְחַיַת, wħayat
אִמְרֵי, imrey
אֲמָרָי, amaray
עֲרוּמִים, ʕarmiym
עֲרוּמִים, ʕarmiym
זְכֹר, zxor
מִנִי־חֹשֶׁךְ, mini־ħošex
קֹלוֹֹ, qolwo
קַלוּ, qal
בְּנֵי, bney
בָנַי, vanay
עֵצָה, ʕet͡sa
וַיהוָה, wayhwa
עִם־אֵל, ʕim־'el
מָטָר, maṭar
כַּפֶּךָ, kapexa
כַּפְּךָ, kapxa
קָדִים, qadiym
כְּסוּת, kst
כִּי־הוא, ki־hw'
כִּי־הוּא, ki־'
יֹאמְרוּ, yo'mr
נָכוֹֹן, naxwon
דְרָכֶיךָ, draxeyxa
שָׁמוֹֹעַ, šamwoʕa
עַצְמוֹֹתָיו, ʕat͡smwotayw
גַם, gam
מָשְׁלוֹֹ, mašlwo
מְשָׁלוֹֹ, mšalwo
אִשָׁה, iša
אוּלָם, lam
וָקוֹֹל, waqwol
וְקוֹֹל, wqwol
עֲוֺנוֹֹת, ʕawonwot
אַךְ, ax
גְדֹלוֹֹת, gdolwot
פִי, fi
פִּי, pi
הַלְאֵל, hal'el
עָוֺן, ʕawon
לְפָנָיו, lfanayw
שִׂיחִי, siyħi
אַף־אֲנִי, af־'ani
אַף־אָנִי, af־'ani
פִּתְאֹם, pit'om
פִתְאֹם, fit'om
אִמִי, imi
כַּמָה, kama
טָמוּן, ṭamn
בְצָר, vt͡sar
בָּצֶר, bat͡ser
בְּצַר, bt͡sar
צֹפַר, t͡sofar
מִמָעַל, mimaʕal
בִּלְדַד, bildad
אֶחֱזֶה, eħeze
אָחֲזָה, aħaza
אִם־אֶרְאֶה, im־'er'e
עַד־תַכְלִית, ʕad־taxliyt
לְמַעַן, lmaʕan
תַחְתֶיהָ, taħteyha
הָעֹשׂוֹֹ, haʕoswo
הֶעָשׂוּ, heʕas
בְמִלִין, vmiliyn
בְּמִלִין, bmiliyn
תֻמָתִי, tumati
וַיָסֹלוּ, wayasol
לָעָב, laʕav
קֹלוֹֹת, qolwot
תִוָּלֵד, tialed
רָעָה, raʕa
רֹעֶה, roʕe
פְּעָמִים, pʕamiym
פַּעֲמַיִם, paʕamayim
כְּסִיל, ksiyl
דִין, diyn
אַשְׁרֵי, ašrey
אַשֻׁרִי, ašuri
עַוָּל, ʕaal
לֹא־עָנוּ, lo'־ʕan
מֵעָפָר, meʕafar
צִדְקֶךָ, t͡sidqexa
צַדְקֶךָּ, t͡sadqeka
בִּלְבָבֶךָ, bilvavexa
בִלְבָבֶךָ, vilvavexa
נִתְנָה, nitna
דָבְקָה, davqa
דָבֵקָה, daveqa
סוּר, sr
יִסְכָּן־גָבֶר, yiskan־gaver
מִלֵא, mile'
מָלֵא, male'
הֵסִיר, hesiyr
יִקָחֵהוּ, yiqaħe
וָאֹמַר, wa'omar
וְכֹל, wxol
שַׁעַר, šaʕar
שָׂעַר, saʕar
מֵסִיר, mesiyr
אַפֶּךָ, apexa
אוֹֹפִיר, wofiyr
יַאֲמִין, ya'amiyn
יָזֹקוּ, yazoq
[לוֹֹ], [lwo]
וַיִשְׂאוּ, wayis'
אִם־אַתָה, im־'ata
חֻקִי, ħuqi
שִׁבְעַת, šivʕat
תֹאמְרוּ, to'mr
נָהָר, nahar
וְדֶרֶךְ, wderex
אֱזָר־נָא, ezar־na'
צַר, t͡sar
צָר, t͡sar
אֲבוֹֹתָם, avwotam
חָדְלוּ, ħadl
נֹטֶה, noṭe
רַבּוֹֹת, rabwot
עָשִׂיתָ, ʕasiyta
בֶאֱנוֹֹשׁ, ve'enwoš
בֶּאֱנוֹֹשׁ, be'enwoš
וְשִׁפְעַת־מַיִם, wšifʕat־mayim
יָגֹרְתִי, yagorti
חָנֻנִי, ħanuni
אֲחַוֶּה, aħae
בְּכֶתֶם, bxetem
כָּל־הָרָעָה, kal־haraʕa
תַמוּ, tam
תֻמוֹֹ, tumwo
רָהַב, rahav
תִעֲבוּנִי, tiʕavni
כְּמוֹֹ, kmwo
שָׁנָה, šana
הֲטוֹֹב, haṭwov
זְכָר־נָא, zxar־na'
יֵרַע, yeraʕ
יָרֹעַ, yaroʕa
רָחֲקָה, raħaqa
יֵשׁ, yeš
כַּבֹּקֶר, kaboqer
כַּבָּקָר, kabaqar
עַל־פְּנֵי־מַיִם, ʕal־pney־mayim
עַל־פְּנֵי־מָיִם, ʕal־pney־mayim
וְתִקְוָתִי, wtiqwati
הָאִישׁ, ha'iyš
יָשָׁר, yašar
יָשֹׁר, yašor
כַּגַנָב, kaganav
כַגַנָב, xaganav
מִשֹׁד, mišod
וְיִחֲלוּ, wyiħal
וְיִחֵלוּ, wyiħel
יֹאבֵדוּ, yo'ved
לְפָנִים, lfaniym
שָׁרָשָׁיו, šarašayw
מְתֵי, mtey
מָתַי, matay
כָּל־אָדָם, kal־'adam
גָאוֹֹן, ga'won
גְאוֹֹן, g'won
מוֹֹלִיךְ, mwoliyx
קְצִירוֹֹ, qt͡siyrwo
הַשֻׁחִי, hašuħi
יְדֻבָּקוּ, ydubaq
וְשֹׁרֶשׁ, wšoreš
מְעָט, mʕaṭ
מְעַט, mʕaṭ
כְגֶבֶר, xgever
וַיֵלַךְ, wayelax
וְיֵלַךְ, wyelax
אֲכַנֶה, axane
בְּרוּחַ, brħa
בָּרוֹֹחַ, barwoħa
אֲיַחֵל, ayaħel
טוֹֹבָה, ṭwova
מַחֲזִיק, maħaziyq
כָל־חָי, xal־ħay
כָּל־חָי, kal־ħay
סָגוּר, sagr
סְגוֹֹר, sgwor
מְתִים, mtiym
שֹׁאָה, šo'a
מִרְעֵהוּ, mirʕe
מֵרֵעֵהוּ, mereʕe
הַחַיִים, haħayiym
יָתוֹֹם, yatwom
וְחַיָתוֹֹ, wħayatwo
לֹא־תְשׁוּרֵנִי, lo'־tšreni
כֹּחוֹֹ, koħwo
