list,            Map1
אֲתוֹֹנוֹֹת,         atonot
יְדֵיהֶם,          ydeyhem
יָשְׁבוּ,           yašvu
יַמִים, yamim
כּוֹֹכָבִים,         koxavim
עֶזְרָתִי,          ʕezrati
פְּנֵי,            pney
צְעָדַי,           t͡sʕaday
אֲבָנִים,          avanim
הַהוּא,           hahu'
בְּאוֹֹר,           b'or
וְשֹׁרֶשׁ,           wšoreš
יָדָיו,           yadaw
לִבֵּנוּ, libenu
יִרְאֶה,           yir'e
חֹשֶׁךְ,            ħošex
בֹּקֶר, boqer
אָנֹכִי,           anoxi
יָשִׂימוּ,          yasim
יִתֵן,            yiten
עָלָיו, ʕalaw
יָדֶךָ,            yadexa
אֹכְלִים,          oxlim
רָעָה,            raʕa
אָרֶץ,                aret͡s
זְהַב, zhav
מִבְּלִי,           mibli
חֵפֶץ, ħefet͡s
גַם־אֲנִי,         gam-ani
בְּרֵכָה, brexa
בָּהִיר, bahir
נֵר, ner
עָלָה, ʕala
הַשֶׁמֶשׁ, hašemeš
יִרְאוּ,           yir'u
אֲנִי, aniy
אֶמֶת, emet
הָרִים,           harim
בַּמִשְׁפָּט,          bamišpaṭ
רֶשַׁע,                rešaʕ
כַּבָּקָר,           kabaqar
לְעוֹֹלָם,              lʕolam
דְמָמָה, dmama
הַכַּף, hakaf
אַף, af
דְרָכֶיךָ,          draxexa
אֱזָר־נָא,         ezar-na'
שְׁאוֹֹל,           š'ol
שִׁבְעַת,           šivʕat
בְּעוֹֹר,           bʕor
בִּלְבָבָם,          bilvavam
מִפָּנַי, mipanay
יָדוֹֹ, yado
תִקָחֶנוּ,          tiqaħenu
הָיוּ,            hayu
לְאַל,            l'al
חַסְדֶךָ,               ħasdexa
הַיַעַר, hayaʕar
אֶעֱנֶה,           eʕene
טַל, ṭal
לְבַב, lvav
לִבְּךָ,            libxa
בָּתֵיהֶם,          bateyhem
לִי, liy
עֵינָי,           ʕeynay
יַעַר, yaʕar
הֵנָה, hena
אֲחִיהֶם,          aħihem
יִשְׂרָאֵל,              yisra'el
נָהָר, nahar
מָאֲסוּ,           ma'asu
בְּיָדְךָ,           byadxa
יַאֲמִין,          ya'amin
בִּנְפֹל,           binfol
לִפְנֵי, lifney
שִׁיר,                šir
לֹא, lo'
אֲחֵיהֶם,          aħeyhem
לךְ, lax
בֵּין, beyn
וַיֹאמֶר,          wayo'mer
רַק־אֲנִי,         raq-ani
בֵין, veyn
מִפְּנֵי, mipney
יְמֵי,            ymey
הַלַיְלָה,          halayla
שְׁלֹשֶׁת,           šlošet
הַמַלְאָךְ, hamal'ax
פָּנֶיךָ,               panexa
שׁוּרָה, šura
זִיז, ziz
בְּרֵכַת, brexat
עַד, ʕad
אֵשׁ, eš
כַּבֹּקֶר,           kaboqer
אֵת, et
אַשְׁרֵי,               ašrey
דִבֶּר, diber
עֵינַיִם,          ʕeynayim
לָאֵל,            la'el
מִדְבָּר,           midbar
מָטָר,            maṭar
פֶה, fe
בָּדָד, badad
מִמְךָ,            mimxa
אַחֲרָיו,          aħaraw
פְּשָׁעָי,           pšaʕay
יֶלֶד, yeled
שָׁמָיִם, šamayim
עָמֵל,            ʕamel
קֹלוֹֹ,            qolo
וְאֹהֶל,           w'ohel
הַשָׂטָן,           hasaṭan
בְּךָ,                 bxa
מִבֶּטֶן,           mibeṭen
חֶרֶשׂ,            ħeres
זֶה, ze
הַיָם,            hayam
אֶל־הַשָׂטָן,        el-hasaṭan
צֹפַר,            t͡sofar
וְאֵי,            w'ey
כֻּלְכֶם,           kulxem
דַבֵּר, daber
עֵת, ʕet
אַרְצָה, art͡sa
סוּפָה,           sufa
מַלְאָךְ, mal'ax
שֶׁל, šel
עָיִן,            ʕayin
חָדְלוּ,           ħadlu
טוֹֹב, ṭov
אֶל, el
מִמְקֹמוֹֹ,          mimqomo
עֲרָבָה,           ʕarava
סֶלַע, selaʕ
וְעַתָה,           wʕata
טָהוֹֹר,           ṭahor
בְּלִי, bli
הַבְּרֵכָה, habrexa
אִם, im
נְחוּשָׁה,          nħuša
כֵן, xen
נִפְלָאוֹֹת,         nifla'ot
חַד, ħad
אָבִי, avi
טֹרֵף,            ṭoref
אוֹֹר, or
בִּטְנִי,           biṭni
אִשָׁה,            iša
הָאָרֶץ,               ha'aret͡s
בֵּרַכְתָ,           beraxta
אַל, al
רֹךְ, rox
יָשֵׁן, yašen
כַּצֵל,            kat͡sel
דֶרֶךְ,            derex
חָלָב,            ħalav
יֵעָנֶה,           yeʕane
רַק, raq
מֵסִיר,           mesir
עֶגְלוֹֹן, ʕeglon
מִלֵא,            mile'
