word, trans
ቁናኖይ, qunanoy
ከኣሎ, kä'alo
ሓጺን, ħaṣin
ጽልኣያ, ṣl'aya
ሳሚ, sami
ወራራት, wärarat
ድኹም, dKum
በዅሪ, bäkʷri
ዕጭ, ʕČ
ባዕሉ, baʕlu
ዲዩ, diyu
ጥበብ, Tbäb
ንንጉስ, nngus
ዘሳኒ, zäsani
ልባ, lba
መንጽር, mänṣr
ነገርዚ, nägärzi
ዂላቶም, kʷilatom
ዅሎም, kʷlom
ኣይሕመሞ, 'ayħmämo
ከሰተ, käsätä
ነገዳት, nägädat
እስከባ, 'skäba
ንኸይድ, nKäyd
ኣዕዋፍ, 'aʕwaf
በዚሕኒሎ, bäziħnilo
ተመስገን, tämäsgän
ህዝብን, hzbn
ብለይቲ, bläyti
ለይትን, läytn
ዂሉ, kʷilu
ምናሴ, mnase
ታይ, tay
እንሆ, 'nho
ንዮሴፍ, nyosef
ኰኑ, kʷänu
ንገርኒ, ngärni
ኣቢሎም, 'abilom
ሲኦል, si'ol
ሓውሰሉ, ħawsälu
ሽታ, šta
ብወገን, bwägän
ከናፍራ, känafra
ሹድሽተ, šudštä
በለኒ, bäläni
ብጀካ, bǧäka
ንየሱስ, nyäsus
ሹማምቲ, šumamti
ብልቡ, blbu
ኣቦኡ, 'abo'u
ህዝብኻ, hzbKa
እተገብረ, 'tägäbrä
እኳ, 'kʷa
ኣዳነይ, 'adanäy
ዘለዋ, zäläwa
ወለደ, wälädä
ቤት, bet
ርግጽ, rgṣ
ድሕሪት, dħrit
ኣጽኒዕና’ወ, 'aṣniʕna’wä
ኣምላኽን, 'amlaKn
ተመልሰ, tämälsä
የሩሳሌምን, yärusalemn
ፍጹም, fṣum
ንውሉድ, nwlud
ኣሳ, 'asa
በቲ, bäti
ኣቦታትኩም, 'abotatkum
እዋን, 'wan
መወዳእታ, mäwäda'ta
ዜብሉ, zeblu
ነበሮ, näbäro
ሰለስተን, sälästän
ገበርቲ, gäbärti
ንርስቲ, nrsti
ሰሓቕ, säħaQ
ሀቦ, häbo
ኢልካ, 'ilka
ከሎኹ, käloKu
ንዅሎም, nkʷlom
ኣዘዘ, 'azäzä
ጲላጦስ, PilaTos
ዕድመ, ʕdmä
ሽምዓ, šmʕa
ንበይኑ, nbäynu
ኣብዛ, 'abza
ምሳታቶም, msatatom
ከጸናንዓ, käṣänanʕa
ወይንን, wäynn
ብሓዊ, bħawi
ንኣኻ, n'aKa
ገጻ, gäṣa
ብዘይካ, bzäyka
በዚ, bäzi
ሞተ, motä
ኤረ, 'erä
ንምኽረይ, nmKräy
ፋስጋ, fasga
አለዉ, 'äläwu
ርእስኻ, r'sKa
ስጋ, sga
ሒዙ, ħizu
ኣሕዋት, 'aħwat
ኸኣ, Kä'a
ኪፈልጡ, kifälTu
ከፍቅረኒ, käfqräni
ዳዊትን, dawitn
ዙርያኡ, zurya'u
ዋይ, way
ኲላ, kʷila
ደለየ, däläyä
ኸምዚ, Kämzi
ሰሰልሰለይ, säsälsäläy
ክነብረኒ, knäbräni
ንዘለኣለም, nzälä'aläm
ድሕርዚ, dħrzi
ህዝቢ, hzbi
ጸማም, ṣämam
ቐያሕ, Qäyaħ
ውጹእ, wṣu'
ኣተወ, 'atäwä
ኣራዊት, 'arawit
ክኸይድ, kKäyd
ኣሕዋተየ, 'aħwatäyä
ዘብዔኛታት, zäbʕeñatat
ዘለዉ, zäläwu
ወዲእኻዮ, wädi'Kayo
ማያት, mayat
ተቐሚጦም, täQämiTom
ውግእ, wg'
ሞይቁኒ, moyquni
ማዕረ, maʕrä
እግዚኣብሄር, 'gzi'abher
ጽሩይ, ṣruy
ንላዕሊ, nlaʕli
እልል, 'll
ዝመጸ, zmäṣä
ደቁ, däqu
ኣፍሪቃ, 'afriqa
ሒደት, ħidät
ኣፈይ, 'afäy
ኣብኡ, 'ab'u
ጽን, ṣn
ጽብቕቲ, ṣbQti
ምዉቕ, mwuQ
ምኽሪ, mKri
ሓበሻ, ħabäša
ማንታ, manta
