word,trans
ኣሎይሰፍሕ, 'aloysäfħ
ቅርርብና, qrrbna
ንብዓት, nbʕat
ምሩጽ, mruṣ
ዝወረሶ, zwäräso
ሓዲጉ, ħadigu
ኲናት, kʷinat
ንሽፎነይ, nšfonäy
ዝብለካ, zbläka
ኣፋኔያ, 'afaneya
ዕድል, ʕdl
ትምኒተይ, tmnitäy
ዝሕፈሶ, zħfäso
ዝሕው, zħw
ፍሩይ, fruy
እንተኽፈቱ, 'ntäKfätu
ወይ’ውን, wäy’wn
ገሪሙኒ, gärimuni
ገፊሑ, gäfiħu
ኣቕሊበሉ, 'aQlibälu
ከምዚ, kämzi
እንዳልካ, 'ndalka
ኩኒ, kuni
ከምቲ, kämti
ግበር, gbär
ኣለና, 'aläna
ጼርና’ወ, ṣerna’wä
በጃኻ, bäǧaKa
ቀይራ, qäyra
ሰተተት, sätätät
ጥዑም’ዩ, Tʕum’yu
ንዘክረን, nzäkrän
ኣዳነይ, 'adanäy
ወርቂ, wärqi
ሰዓማ, säʕama
ዘሎ, zälo
ክዛረብ, kzaräb
ስዒመ, sʕimä
ከዋጋዓካ, käwagaʕaka
የለን, yälän
ዘየዕበደ, zäyäʕbädä
ብኣማኒኻ, b'amaniKa
ቀደም, qädäm
ጸያፍ, ṣäyaf
ሓሊፉ, ħalifu
ኾይነ, Koynä
ዓለምካ, ʕalämka
ኣይትዋራዘይለይ, 'aytwarazäyläy
ሪሓን, riħan
ኣጥሒላ, 'aTħila
ተጻዊተ, täṣawitä
ተሓዝካዮ, täħazkayo
ዕላል, ʕlal
ይገብራ, ygäbra
ኣይፋልካን, 'ayfalkan
ኢልኪ, 'ilki
ጌታ, geta
ጌሩ, geru
ምስቶም, mstom
ወትሩ, wätru
ዝስተ, zstä
ተቐቢለ, täQäbilä
ዝጸበቐት, zṣäbäQät
ክሕሎ, kħlo
ንጸብጽብ, nṣäbṣb
ኣዕሊለ, 'aʕlilä
ምዕባለ, mʕbalä
እስከ, 'skä
ጸብለልታ, ṣäblälta
ድኻ, dKa
ኣነየ, 'anäyä
ፍረ, frä
ዝገብራ, zgäbra
መኽመስመሲት, mäKmäsmäsit
ንዓየ, nʕayä
ጉዕዞኻ, guʕzoKa
ዝጠለማኻ, zTälämaKa
ክሳብ, ksab
ይኣቱ, y'atu
ነገርስ, nägärs
በላ, bäla
ስምዓዮ, smʕayo
ዘይኣመለይ, zäy'amäläy
ክምስጥ, kmsT
ሰኣን, sä'an
ኣይትግደፍኒ, 'aytgdäfni
መንጎ, mängo
ብዘይወሰን, bzäywäsän
ኣብታ, 'abta
ይብል, ybl
ሰንሰለት, sänsälät
ጀሚረ, ǧämirä
እባ, 'ba
ድሃን, dhan
ከዘክረካ, käzäkräka
ገበር, gäbär
ኣዲስ, 'adis
ዘይመልኽ, zäymälK
ደድሕረይ, dädħräy
ንነብሰይ, nnäbsäy
ምሳና, msana
ንዝደሊ, nzdäli
ኣኽባሪናይ, 'aKbarinay
ቁጽሪ, quṣri
ከበሮ, käbäro
ባንዴራና, banderana
ክንራከብ, knrakäb
ሰባ, säba
ኢዩ, 'iyu
ተሰጕጉ, täsägʷgu
ሕዛበይ, ħzabäy
ኣብ, 'ab
ድማ, dma
እዩ, 'yu
እቲ, 'ti
ከኣ, kä'a
እግዚኣብሄር, 'gzi'abher
ኸኣ, Kä'a
ካብ, kab
እሞ, 'mo
ናብ, nab
ምስ, ms
ነቲ, näti
እዚ, 'zi
እየ, 'yä
ከም, käm
እቶም, 'tom
ኣምላኽ, 'amlaK
እንተ, 'ntä
ግና, gna
ምዕራፍ, mʕraf
ንሱ, nsu
እስራኤል, 'sra'el
እዮም, 'yom
ንጉስ, ngus
ኣነ, 'anä
ወዲ, wädi
ደቂ, däqi
ሰብ, säb
ቤት, bet
ምድሪ, mdri
እታ, 'ta
ሓደ, ħadä
ኢሉ, 'ilu
ናይ, nay
ነበረ, näbärä
ሽዑ, šʕu
መዓልቲ, mäʕalti
ኻብ, Kab
ነቶም, nätom
ህዝቢ, hzbi
ቅድሚ, qdmi
ምእንቲ, m'nti
እንሆ, 'nho
ከምቲ, kämti
ኸም, Käm
ኣሎ, 'alo
እኳ, 'kʷa
በሎ, bälo
ይብል, ybl
ስለ, slä
ኢኻ, 'iKa
ክሳዕ, ksaʕ
ከምዚ, kämzi
በለ, bälä
ዘሎ, zälo
እያ, 'ya
ዳዊት, dawit
ልዕሊ, lʕli
ንእግዚኣብሄር, n'gzi'abher
የሱስ, yäsus
ስለዚ, släzi
እምበር, 'mbär
ኰነ, kʷänä
ንሳቶም, nsatom
ሃገር, hagär
ንስኻ, nsKa
ነበሩ, näbäru
በታ, bäta
ግናኸ, gnaKä
ነገር, nägär
ኵሉ, kʷlu
መስዋእቲ, mäswa'ti
ኢኹም, 'iKum
ዅሉ, kʷlu
ክልተ, kltä
ኣብቲ, 'abti
ዓመት, ʕamät
ደኣ, dä'a
በሎም, bälom
ነታ, näta
በቲ, bäti
ሰብኣይ, säb'ay
ኢሎም, 'ilom
ኣሎኹ, 'aloKu
ይሁዳ, yhuda
ሕጂ, ħǧi
ኪኸውን, kiKäwn
ዎ, wo
መጽሓፍ, mäṣħaf
ወይ, wäy
ዘበለ, zäbälä
እንታይ, 'ntay
የሩሳሌም, yärusalem
ካብቲ, kabti
ግብጺ, gbṣi
ሰበይቲ, säbäyti
ኣብኡ, 'ab'u
ብዙሕ, bzuħ
ከምኡ, käm'u
ነፍሲ, näfsi
ኸተማ, Kätäma
ኢድ, 'id
ኣብታ, 'abta
ማእከል, ma'käl
ኲሉ, kʷilu
ኽሳዕ, Ksaʕ
ማይ, may
እዚኣ, 'zi'a
ይኹን, yKun
ነዚ, näzi
ዝነበረ, znäbärä
ብዛዕባ, bzaʕba
ዂሉ, kʷilu
ጊዜ, gize
ደው, däw
እቲኣ, 'ti'a
መገዲ, mägädi
መን, män
ሙሴ, muse
ጐይታ, gʷäyta
ምስኡ, ms'u
ሰማይ, sämay
ኢና, 'ina
ናብቲ, nabti
ኣቱም, 'atum
ሰራዊት, särawit
ወይስ, wäys
ሾብዓተ, šobʕatä
ሰለስተ, sälästä
ዓሰርተው, ʕasärtäw
ንስኻትኩም, nsKatkum
ኣታ, 'ata
አሎኹ, 'äloKu
ክርስቶስ, krstos
ገለ, gälä
ዝዀነ, zkʷänä
ሓንቲ, ħanti
ዓብዪ, ʕabyi
ሚእትን, mi'tn
ሓዊ, ħawi
በሉ, bälu
ሓጢኣት, ħaTi'at
ደገ, dägä
የልቦን, yälbon
እዚኣቶም, 'zi'atom
ንሳ, nsa
ጽቡቕ, ṣbuQ
ሎሚ, lomi
ሽሕ, šħ
እየን, 'yän
ቅዱስ, qdus
ዝነበሩ, znäbäru
ከሎ, kälo
መንፈስ, mänfäs
እተን, 'tän
ኣብኣ, 'ab'a
ህዝብታት, hzbtat
ባሕሪ, baħri
ኣፍ, 'af
መጸ, mäṣä
ሰባት, säbat
ሕጊ, ħgi
ቦታ, bota
ወከፍ, wäkäf
ዚብል, zibl
ቃል, qal
ገበረ, gäbärä
ኣይኰነን, 'aykʷänän
ገይሩ, gäyru
ጐይታይ, gʷäytay
ኸምዚ, Kämzi
ኢዱ, 'idu
እዛ, 'za
ዀነ, kʷänä
ኣምላኽካ, 'amlaKka
ናብኡ, nab'u
መሰውኢ, mäsäw'i
ዘለዉ, zäläwu
ኢለ, 'ilä
ኣርባዕተ, 'arbaʕtä
ብዘይ, bzäy
ብዙሓት, bzuħat
ኣህዛብ, 'ahzab
ኵሎም, kʷlom
ንሕና, nħna
ወርሒ, wärħi
እንጌራ, 'ngera
ኸአ, Kä'ä
በረኻ, bäräKa
ትሕቲ, tħti
በልዎ, bälwo
ቓል, Qal
ሳኦል, sa'ol
ወርቂ, wärqi
ሓሙሽተ, ħamuštä
ስጋ, sga
ደም, däm
ንደቂ, ndäqi
ንኣምላኽ, n'amlaK
ያእቆብ, ya'qob
ናብታ, nabta
ከአ, kä'ä
ኣለዉ, 'aläwu
ንእኡ, n''u
ጥራይ, Tray
ትንቢት, tnbit
ብዘሎ, bzälo
ዝበለ, zbälä
መቕደስ, mäQdäs
ወይኒ, wäyni
ኲሎም, kʷilom
ባቢሎን, babilon
አሎ, 'älo
ጓል, gʷal
ብእኡ, b''u
ስም, sm
ንሙሴ, nmuse
ካብኡ, kab'u
ድንኳን, dnkʷan
በዚ, bäzi
ኻህን, Kahn
ሚእቲ, mi'ti
